Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;346;1,3;312,1;0;
5-9 ans;315;1,1;291,7;0;
10-19 ans;1080;3,9;543;0;
20-29 ans;3412;12,3;1059,3;< 5;n.p.
30-39 ans;3553;12,8;1081,4;< 5;n.p.
40-49 ans;3815;13,8;1370,6;15;*5,4
50-59 ans;3458;12,5;1347,3;66;25,7
60-69 ans;2396;8,7;1106,4;219;101,1
70-79 ans;2412;8,7;1666,9;590;407,7
80 ans et +;6864;24,8;6793,3;2530;2503,9
Manquant;82;;;;
Total;27733;;1342,6;3427;165,9
