Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;347;1,3;313;0;
5-9 ans;315;1,1;291,7;0;
10-19 ans;1084;3,9;545;0;
20-29 ans;3431;12,4;1065,2;< 5;n.p.
30-39 ans;3571;12,9;1086,9;< 5;n.p.
40-49 ans;3821;13,8;1372,8;15;*5,4
50-59 ans;3458;12,5;1347,3;66;25,7
60-69 ans;2399;8,7;1107,8;219;101,1
70-79 ans;2413;8,7;1667,6;592;409,1
80 ans et +;6865;24,8;6794,3;2532;2505,9
Manquant;83;;;;
Total;27787;;1345,2;3431;166,1
