Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14236
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;27994
05 - Estrie;21149
06 - Montréal;191 662
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;11980
09 - Côte-Nord;17 469
10 - Nord-du-Québec;8372
11 - Gaspésie – Îles-de-la-Madeleine;9997
12 - Chaudière-Appalaches;23203
13 - Laval;29380
14 - Lanaudière;26591
15 - Laurentides;28325
16 - Montérégie;69801
17 - Nunavik;4764
18 - Terres-Cries-de-la-Baie-James;10336
Inconnu;1657
Total;564 302
