,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3785,18,3759,26,40,0,3448,297,196934.5,1921.96,150.92,20.31
02,02 - Saguenay-Lac-Saint-Jean,10732,35,10512,220,269,0,10250,213,277505,3867.32,76.79,96.94
03,03 - Capitale-Nationale,32336,32,31984,352,1104,1,30826,406,757803,4267.07,53.41,145.68
04,04 - Mauricie et Centre-du-Québec,14905,38,14666,239,516,1,14133,256,523331.5,2848.10,48.82,98.60
05,05 - Estrie,14296,53,13784,512,342,0,13504,450,494966.5,2888.28,90.59,69.10
06,06 - Montréal,129599,193,126675,2924,4718,2,122602,2279,2072060.5,6254.60,109.65,227.70
07,07 - Outaouais,11929,21,11483,446,209,1,11495,225,402744,2961.93,55.63,51.89
08,08 - Abitibi-Témiscamingue,1109,1,1076,33,9,0,1098,2,147637,751.17,1.35,6.10
09,09 - Côte-Nord,567,1,548,19,3,0,550,14,89700.5,632.10,15.67,3.34
10,10 - Nord-du-Québec,105,3,103,2,0,0,99,6,13521.5,776.54,44.49,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1978,20,1958,20,45,0,1874,59,89823,2202.11,65.81,50.10
12,12 - Chaudière-Appalaches,18543,61,18263,280,343,0,17620,580,431109.5,4301.23,134.29,79.56
13,13 - Laval,30908,44,29114,1794,908,1,29542,458,444658.5,6950.95,102.56,204.20
14,14 - Lanaudière,23607,26,22896,711,513,1,22814,280,522367,4519.24,53.37,98.21
15,15 - Laurentides,20505,49,19901,604,500,0,19724,281,630238,3253.53,44.36,79.34
16,16 - Montérégie,50169,64,48221,1948,1544,1,47816,809,1438226,3488.26,56.04,107.35
17,17 - Nunavik,47,0,45,2,0,0,46,1,14336.5,327.83,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,400,3,395,5,0,0,382,18,.,.,.,.
999,Ensemble du Québec,365642,662,355505,10137,11066,8,347942,6634,8565469.5,4268.79,77.21,129.19

