RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,145,0,0,0,145,1170,594.53,88.2,93.3
02 - Saguenay–Lac-Saint-Jean,28,0,1,0,29,770,277.60,94.9,96.7
03 - Capitale-Nationale,556,3,5,18,582,7671,"1,009.15",97.8,88.2
04 - Mauricie et Centre-du-Québec,54,0,0,2,56,1226,233.83,90.8,89.1
05 - Estrie,89,0,13,1,103,1879,378.24,98.3,88.3
06 - Montréal,3028,96,107,45,3276,11912,573.12,87.4,91
07 - Outaouais,414,11,22,7,454,3442,851.02,98,100
08 - Abitibi-Témiscamingue,0,165,0,0,165,240,162.54,100,100
09 - Côte-Nord,5,0,0,0,5,148,165.61,71.4,100
10 - Nord-du-Québec,0,0,0,0,0,10,74.16,66.7,100
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,138,153.94,85.7,91.7
12 - Chaudière-Appalaches,228,0,6,0,234,3058,708.02,91.3,87.6
13 - Laval,350,12,13,7,382,2885,646.03,93,89
14 - Lanaudière,254,21,4,8,287,1473,280.76,82.4,92.1
15 - Laurentides,363,11,34,10,418,2214,349.48,84,91.6
16 - Montérégie,202,11,83,7,303,3667,254.00,90.4,84.5
Inconnu,0,1,0,0,1,713,,.,.
Hors Québec,33,7,1,1,42,82,,92.3,91.7
Ensemble du Québec,5749,338,289,106,6482,42698,496.96,90.4,90
