RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,156,0,0,0,156,1192,605.71,82.4,100
02 - Saguenay–Lac-Saint-Jean,59,0,2,0,61,876,315.81,93.5,95
03 - Capitale-Nationale,567,3,8,18,596,7830,"1,030.06",98.6,86.2
04 - Mauricie et Centre-du-Québec,90,0,0,2,92,1295,246.99,79.5,92.4
05 - Estrie,92,0,15,1,108,2167,436.22,97.8,89.7
06 - Montréal,3163,107,177,53,3500,13094,629.98,89.7,90.6
07 - Outaouais,448,16,33,7,504,3617,894.29,97.2,98.6
08 - Abitibi-Témiscamingue,0,170,0,0,170,243,164.57,100,100
09 - Côte-Nord,6,0,0,0,6,149,166.73,.,.
10 - Nord-du-Québec,0,0,0,0,0,16,118.65,100,66.7
11 - Gaspésie–Îles-de-la-Madeleine,7,0,0,0,7,159,177.36,86.7,92.3
12 - Chaudière-Appalaches,386,2,10,0,398,3218,745.06,91.9,88
13 - Laval,408,13,18,8,447,3015,675.14,94.7,93.7
14 - Lanaudière,267,28,11,8,314,1581,301.35,93.9,89.1
15 - Laurentides,421,14,47,12,494,2348,370.63,92.4,89.9
16 - Montérégie,303,15,114,7,439,3996,276.79,88.7,89.8
Inconnu,0,1,0,0,1,715,,100,100
Hors Québec,47,9,2,1,59,85,,100,100
Ensemble du Québec,6420,378,437,117,7352,45596,530.69,91.7,90.6
