Régions sociosanitaires;2021-05-23;2021-05-24;2021-05-25;2021-05-26;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;14;8;6;6;3 888
02 - Saguenay – Lac-Saint-Jean;16;11;11;7;10 844
03 - Capitale-Nationale;18;18;13;36;32 502
04 - Mauricie-et-Centre-du-Québec;14;10;12;18;15 033
05 - Estrie;63;31;25;40;14 601
06 - Montréal;160;114;96;158;130 720
07 - Outaouais;19;16;7;29;12 106
08 - Abitibi-Témiscamingue;0;0;0;1;1 112
09 - Côte-Nord;0;1;0;0;570
10 - Nord-du-Québec;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;0;2;4;3;2 000
12 - Chaudière-Appalaches;19;32;35;21;18 765
13 - Laval;23;18;22;29;31 116
14 - Lanaudière;13;15;13;12;23 726
15 - Laurentides;16;26;22;15;20 661
16 - Montérégie;57;37;40;58;50 554
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;1;7;2;3;423
Région à déterminer;0;0;0;0;3
Total;433;346;308;436;368 899
