,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,18353,88,18314,39,130,1,16818,1405,197738.33333,9281.46,710.81,65.74,106,635,8
02,02 - Saguenay-Lac-Saint-Jean,27694,106,27333,361,385,0,26050,1259,278600,9940.42,451.91,138.19,128,1341,4
03,03 - Capitale-Nationale,82304,198,81943,361,1468,0,77738,3098,761103.66667,10813.77,404.13,192.88,311,3675,22
04,04 - Mauricie et Centre-du-Québec,54311,180,54071,240,926,1,50853,2532,527666.66667,10292.67,477.48,175.49,202,2709,23
05,05 - Estrie,45654,130,45129,525,554,0,43623,1477,502406,9087.07,290.76,110.27,139,2251,13
06,06 - Montréal,295041,440,291677,3364,5377,0,283696,5968,2061667.3333,14310.80,288.10,260.81,612,14759,26
07,07 - Outaouais,37458,71,37012,446,295,0,36308,855,405378.66667,9240.25,208.67,72.77,82,1578,3
08,08 - Abitibi-Témiscamingue,9697,30,9656,41,98,0,9070,529,147876.33333,6557.51,357.57,66.27,80,537,2
09,09 - Côte-Nord,7319,35,7293,26,42,0,6695,582,90082.333333,8124.79,649.06,46.62,59,397,2
10,10 - Nord-du-Québec,1253,14,1040,213,4,0,1213,36,13383.666667,9362.16,270.60,29.89,4,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8028,40,7991,37,67,0,7254,707,90783.333333,8843.03,777.81,73.80,48,339,1
12,12 - Chaudière-Appalaches,57823,168,57540,283,586,2,55070,2167,434525.66667,13307.15,496.37,134.86,198,2166,5
13,13 - Laval,68539,91,66577,1962,1059,1,66297,1183,445993.33333,15367.72,262.82,237.45,106,2900,6
14,14 - Lanaudière,66009,113,65293,716,733,1,63780,1496,530581,12440.89,278.58,138.15,130,2480,13
15,15 - Laurentides,74239,193,73633,606,717,0,71318,2204,640046.66667,11599.00,339.75,112.02,190,3131,8
16,16 - Montérégie,138959,324,137048,1911,2077,0,132403,4479,1452381.3333,9567.67,305.36,143.01,424,6856,43
17,17 - Nunavik,2873,4,2868,5,10,0,2819,44,14619,19652.51,295.88,68.40,9,89,0
18,18 - Terres-Cries-de-la-Baie-James,2549,7,2166,383,14,0,2321,214,18660.333333,13659.99,1128.04,75.03,30,77,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,353,0
99,Hors Québec,2788,2,2780,8,2,0,2750,36,.,.,.,.,6,0,0
999,Ensemble du Québec,1000895,2234,989367,11528,14544,6,956080,30271,8613493.6667,11620.08,348.86,168.85,2864,46314,179

