,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,17744,130,17705,39,124,0,16258,1362,197738.33333,8973.48,689.05,62.71,79,598,11
02,02 - Saguenay-Lac-Saint-Jean,27059,160,26698,361,383,0,25391,1285,278600,9712.49,461.24,137.47,68,1295,7
03,03 - Capitale-Nationale,80744,331,80383,361,1460,0,76021,3263,761103.66667,10608.80,425.66,191.83,194,3569,33
04,04 - Mauricie et Centre-du-Québec,53030,322,52790,240,920,3,49888,2222,527666.66667,10049.91,419.02,174.35,127,2645,16
05,05 - Estrie,44754,142,44229,525,551,1,42889,1314,502406,8907.94,258.67,109.67,85,2189,11
06,06 - Montréal,291844,804,288480,3364,5349,0,280850,5645,2061667.3333,14155.73,272.51,259.45,284,14615,48
07,07 - Outaouais,36988,110,36542,446,294,1,35930,764,405378.66667,9124.31,186.46,72.52,39,1533,2
08,08 - Abitibi-Témiscamingue,9435,119,9394,41,90,1,8681,664,147876.33333,6380.33,448.83,60.86,54,513,4
09,09 - Côte-Nord,7074,80,7048,26,40,0,6404,630,90082.333333,7852.82,702.59,44.40,40,377,1
10,10 - Nord-du-Québec,1210,5,1001,209,4,0,1191,15,13383.666667,9040.87,112.75,29.89,4,40,1
11,11 - Gaspésie-Îles-de-la-Madeleine,7726,78,7690,36,63,0,6837,826,90783.333333,8510.37,908.73,69.40,56,316,5
12,12 - Chaudière-Appalaches,56903,240,56620,283,581,0,54061,2261,434525.66667,13095.43,517.90,133.71,109,2092,21
13,13 - Laval,67849,150,65886,1963,1058,0,65789,1002,445993.33333,15213.01,222.61,237.22,60,2857,7
14,14 - Lanaudière,65248,211,64532,716,729,1,63109,1410,530581,12297.46,262.56,137.40,68,2417,8
15,15 - Laurentides,73081,281,72474,607,715,1,70437,1929,640046.66667,11418.07,297.36,111.71,87,3046,17
16,16 - Montérégie,136560,564,134649,1911,2067,4,130512,3981,1452381.3333,9402.49,271.40,142.32,201,6663,42
17,17 - Nunavik,2847,5,2842,5,10,0,2797,40,14619,19474.66,268.98,68.40,0,88,0
18,18 - Terres-Cries-de-la-Baie-James,2432,26,2055,377,14,0,2196,222,18660.333333,13032.99,1170.21,75.03,12,72,1
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,358,-2
99,Hors Québec,2768,3,2760,8,2,0,2716,50,.,.,.,.,8,0,0
999,Ensemble du Québec,985300,3761,973781,11519,14454,12,941961,28885,8613493.6667,11439.03,332.88,167.81,1575,45283,233

