No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,6,4,9,0,30,0.3 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,73,4,85,8,264,2.6 %
03,03 - Capitale-Nationale,3,494,139,23,288,24,971,9.4 %
04,04 - Mauricie et Centre-du-Québec,6,151,214,21,98,5,495,4.8 %
05,05 - Estrie,3,124,51,17,90,11,296,2.9 %
06,06 - Montréal,201,2717,720,131,644,70,4483,43.4 %
07,07 - Outaouais,8,63,32,13,41,1,158,1.5 %
08,08 - Abitibi-Témiscamingue,0,0,6,0,1,0,7,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,104,69,6,98,4,286,2.8 %
13,13 - Laval,2,509,126,52,169,6,864,8.4 %
14,14 - Lanaudière,3,249,113,11,112,2,490,4.7 %
15,15 - Laurentides,64,173,85,48,79,14,463,4.5 %
16,16 - Montérégie,15,603,332,59,444,8,1461,14.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),313,5304,1987,389,2171,154,10318,
9999,Ensemble du Québec (%),3.0 %,51.4 %,19.3 %,3.8 %,21.0 %,1.5 %,.,100.0 %

