Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;7495
02 - Saguenay – Lac-Saint-Jean;10598
03 - Capitale-Nationale;34473
04 - Mauricie-et-Centre-du-Québec;17909
05 - Estrie;18498
06 - Montréal;91 888
07 - Outaouais;12579
08 - Abitibi-Témiscamingue;9691
09 - Côte-Nord;17 463
10 - Nord-du-Québec;7694
11 - Gaspésie – Îles-de-la-Madeleine;9759
12 - Chaudière-Appalaches;14410
13 - Laval;12311
14 - Lanaudière;17201
15 - Laurentides;16874
16 - Montérégie;39538
17 - Nunavik;4006
18 - Terres-Cries-de-la-Baie-James;9908
Inconnu;1599
Total;353 894
