Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;8498
02 - Saguenay – Lac-Saint-Jean;11526
03 - Capitale-Nationale;36015
04 - Mauricie-et-Centre-du-Québec;18238
05 - Estrie;18498
06 - Montréal;93 686
07 - Outaouais;13281
08 - Abitibi-Témiscamingue;9714
09 - Côte-Nord;17 497
10 - Nord-du-Québec;7694
11 - Gaspésie – Îles-de-la-Madeleine;9760
12 - Chaudière-Appalaches;15480
13 - Laval;12745
14 - Lanaudière;17958
15 - Laurentides;17540
16 - Montérégie;41884
17 - Nunavik;4095
18 - Terres-Cries-de-la-Baie-James;9940
Inconnu;1929
Total;365 978
