,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19145,78,19106,39,147,3,17797,1201,197738.33333,9681.99,607.60,74.34,100,709,6
02,02 - Saguenay-Lac-Saint-Jean,28515,81,28154,361,404,8,26963,1148,278600,10235.10,412.07,145.01,100,1427,7
03,03 - Capitale-Nationale,84194,173,83833,361,1483,0,80137,2574,761103.66667,11062.09,335.78,194.85,271,3837,18
04,04 - Mauricie et Centre-du-Québec,55925,134,55685,240,948,0,52564,2413,527666.66667,10598.55,455.04,179.66,195,2877,15
05,05 - Estrie,46868,143,46344,524,563,0,44721,1584,502406,9328.71,311.82,112.06,147,2370,0
06,06 - Montréal,299085,321,295722,3363,5401,1,288409,5275,2061667.3333,14506.95,254.65,261.97,525,15078,30
07,07 - Outaouais,38184,47,37738,446,298,0,36977,909,405378.66667,9419.34,221.85,73.51,75,1654,7
08,08 - Abitibi-Témiscamingue,10100,20,10059,41,105,0,9578,417,147876.33333,6830.03,281.87,71.01,61,571,0
09,09 - Côte-Nord,7667,41,7641,26,42,0,7125,500,90082.333333,8511.10,557.61,46.62,69,412,0
10,10 - Nord-du-Québec,1317,2,1105,212,4,0,1279,34,13383.666667,9840.35,255.56,29.89,9,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8417,29,8380,37,76,1,7847,494,90783.333333,9271.53,543.48,83.72,55,368,11
12,12 - Chaudière-Appalaches,59005,111,58722,283,598,3,56563,1844,434525.66667,13579.17,422.38,137.62,177,2289,20
13,13 - Laval,69466,93,67505,1961,1070,0,67288,1108,445993.33333,15575.57,246.16,239.91,162,2999,12
14,14 - Lanaudière,67199,127,66483,716,739,1,64962,1498,530581,12665.17,278.95,139.28,133,2568,10
15,15 - Laurentides,75660,145,75054,606,720,0,72949,1991,640046.66667,11821.01,306.91,112.49,212,3255,21
16,16 - Montérégie,141904,220,139992,1912,2090,1,135722,4092,1452381.3333,9770.44,278.97,143.90,413,7183,40
17,17 - Nunavik,2921,7,2915,6,10,0,2860,51,14619,19980.85,342.95,68.40,4,90,0
18,18 - Terres-Cries-de-la-Baie-James,2712,9,2325,387,14,0,2508,190,18660.333333,14533.50,1001.53,75.03,19,84,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,365,1
99,Hors Québec,2818,2,2810,8,2,0,2783,33,.,.,.,.,2,0,0
999,Ensemble du Québec,1021106,1783,1009576,11530,14714,18,979036,27356,8613493.6667,11854.73,315.26,170.82,2729,48177,198

