date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t,psi_cum_adm_n,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_heb_pos_t,hos_quo_si_t
2021-01-19,Région,RSS06,Montréal,85434.0,2811.0,88245,4245.68,19.92,412.0,2.0,414,7428,357.38,na,na,76060,754,4115,197.98,0.24,2828,555,558,174,5,2.0,1.0,2.0,0.0,na,na,6052.0,1123.0,7175.0,345.21,0.0,0.0,0.0,0.0,na,733593.0,83385.0,650208.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-20,Région,RSS06,Montréal,86111.0,2813.0,88924,4278.35,22.18,459.0,2.0,461,7417,356.85,na,na,76732,676,4135,198.94,0.14,2833,560,568,174,3,2.0,0.0,1.0,0.0,na,na,6091.0,1131.0,7222.0,347.47,0.0,0.0,0.0,0.0,na,735907.0,83959.0,651948.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-21,Région,RSS06,Montréal,86789.0,2816.0,89605,4311.12,22.42,462.0,4.0,466,7341,353.19,na,na,77459,727,4165,200.39,0.24,2838,564,586,177,5,0.0,1.0,3.0,1.0,na,na,6135.0,1146.0,7281.0,350.31,0.0,0.0,0.0,0.0,na,738290.0,84612.0,653678.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-22,Région,RSS06,Montréal,87453.0,2821.0,90274,4343.3,17.18,355.0,2.0,357,7279,350.21,na,na,78152,699,4203,202.22,0.29,2854,572,598,179,6,3.0,1.0,2.0,0.0,na,na,6180.0,1150.0,7330.0,352.66,0.0,0.0,0.0,0.0,na,742988.0,85575.0,657413.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-23,Région,RSS06,Montréal,88031.0,2823.0,90854,4371.21,17.13,355.0,1.0,356,7076,340.44,na,na,78924,762,4214,202.75,0.1,2858,573,604,179,2,2.0,0.0,0.0,0.0,na,na,6210.0,1158.0,7368.0,354.49,0.0,0.0,0.0,0.0,na,754401.0,88361.0,666040.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-24,Région,RSS06,Montréal,88509.0,2823.0,91332,4394.21,11.4,236.0,1.0,237,6885,331.25,na,na,79577,634,4231,203.56,0.19,2865,575,611,180,4,2.0,1.0,1.0,0.0,na,na,6227.0,1167.0,7394.0,355.74,0.0,0.0,0.0,0.0,na,756542.0,88834.0,667708.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-25,Région,RSS06,Montréal,88984.0,2827.0,91811,4417.25,13.76,282.0,4.0,286,6604,317.73,na,na,80313,732,4250,204.48,0.05,2871,582,616,181,1,0.0,1.0,0.0,0.0,na,na,6250.0,1172.0,7422.0,357.09,0.0,0.0,0.0,0.0,na,758890.0,89325.0,669565.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-26,Région,RSS06,Montréal,89535.0,2827.0,92362,4443.76,16.02,331.0,2.0,333,6656,320.24,na,na,80810,500,4257,204.81,0.05,2873,583,619,182,1,0.0,0.0,1.0,0.0,na,na,6289.0,1180.0,7469.0,359.35,0.0,0.0,0.0,0.0,na,761265.0,89846.0,671419.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-27,Région,RSS06,Montréal,90080.0,2828.0,92908,4470.03,13.86,287.0,1.0,288,6585,316.82,na,na,81420,607,4267,205.3,0.14,2877,590,618,182,3,1.0,2.0,0.0,0.0,na,na,6318.0,1185.0,7503.0,360.99,0.0,0.0,0.0,0.0,na,763754.0,90387.0,673367.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-28,Région,RSS06,Montréal,90612.0,2833.0,93445,4509.76,17.85,369.0,2.0,371,6353,305.66,na,na,82180,739,4280,206.56,0.14,2881,598,619,182,3,1.0,1.0,1.0,0.0,na,na,6340.0,1187.0,7527.0,363.26,0.0,0.0,0.0,0.0,na,766680.0,90929.0,675751.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-29,Région,RSS06,Montréal,91190.0,2832.0,94022,4537.61,18.09,375.0,1.0,376,6247,300.56,na,na,82850,657,4292,207.14,0.19,2885,601,624,182,4,1.0,1.0,2.0,0.0,na,na,6364.0,1194.0,7558.0,364.76,0.0,0.0,0.0,0.0,na,769731.0,91518.0,678213.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-30,Région,RSS06,Montréal,91685.0,2833.0,94518,4561.55,17.99,372.0,2.0,374,6112,294.06,na,na,83475,606,4300,207.52,0.0,2887,601,629,183,0,0.0,0.0,0.0,0.0,na,na,6391.0,1199.0,7590.0,366.3,0.0,0.0,0.0,0.0,na,772140.0,91987.0,680153.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-31,Région,RSS06,Montréal,92027.0,2834.0,94861,4578.1,8.28,172.0,0.0,172,5867,282.28,na,na,84051,576,4311,208.05,0.24,2889,603,635,184,5,1.0,0.0,4.0,0.0,na,na,6410.0,1203.0,7613.0,367.41,0.0,0.0,0.0,0.0,na,774441.0,92406.0,682035.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-02-01,Région,RSS06,Montréal,92561.0,2835.0,95396,4603.92,15.25,316.0,1.0,317,5826,280.3,na,na,84617,563,4317,208.34,0.1,2892,603,637,185,2,1.0,0.0,1.0,0.0,na,na,6438.0,1207.0,7645.0,368.96,0.0,0.0,0.0,0.0,na,776347.0,92834.0,683513.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-02-02,Région,RSS06,Montréal,93053.0,2837.0,95890,4627.76,16.7,345.0,2.0,347,5837,280.83,na,na,85095,465,4324,208.68,0.0,2894,605,639,186,0,0.0,0.0,0.0,0.0,na,na,6458.0,1209.0,7667.0,370.02,0.0,0.0,0.0,0.0,na,778773.0,93399.0,685374.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-02-03,Région,RSS06,Montréal,93581.0,2841.0,96422,4653.44,15.06,312.0,1.0,313,5909,284.3,na,na,85543,425,4335,209.21,0.19,2898,607,644,186,4,2.0,0.0,2.0,0.0,na,na,6495.0,1211.0,7706.0,371.9,0.0,0.0,0.0,0.0,na,781484.0,93872.0,687612.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-02-04,Région,RSS06,Montréal,94070.0,2842.0,96912,4677.08,16.21,336.0,1.0,337,5679,273.23,na,na,86255,710,4343,209.6,0.1,2898,611,648,186,2,0.0,2.0,0.0,0.0,na,na,6528.0,1216.0,7744.0,373.73,0.0,0.0,0.0,0.0,na,784225.0,94448.0,689777.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-02-05,Région,RSS06,Montréal,94674.0,2843.0,97517,4706.28,19.92,413.0,1.0,414,5690,273.76,na,na,86855,581,4347,209.79,0.1,2897,613,651,186,2,0.0,1.0,1.0,0.0,na,na,6552.0,1219.0,7771.0,375.04,0.0,0.0,0.0,0.0,na,786985.0,95002.0,691983.0,0.0,0,0.0,na,1595151.0,na,na,na,na,na
2021-02-06,Région,RSS06,Montréal,95149.0,2844.0,97993,4729.25,16.12,335.0,0.0,335,5606,269.72,na,na,87401,529,4361,210.47,0.05,2900,616,658,187,1,0.0,0.0,1.0,0.0,na,na,6574.0,1222.0,7796.0,376.24,0.0,0.0,0.0,0.0,na,789593.0,95558.0,694035.0,0.0,0,0.0,na,1603506.0,na,na,na,na,na
2021-02-07,Région,RSS06,Montréal,95541.0,2845.0,98386,4748.22,10.1,210.0,0.0,210,5459,262.65,na,na,87937,527,4366,210.71,0.0,2899,618,661,188,0,0.0,0.0,0.0,0.0,na,na,6592.0,1227.0,7819.0,377.35,0.0,0.0,0.0,0.0,na,791638.0,95953.0,695685.0,0.0,0,0.0,na,1609841.0,na,na,na,na,na
2021-02-08,Région,RSS06,Montréal,95921.0,2846.0,98767,4766.61,8.95,186.0,0.0,186,5304,255.19,na,na,88462,524,4378,211.29,0.1,2900,622,667,189,2,0.0,1.0,1.0,0.0,na,na,6645.0,1234.0,7879.0,380.25,0.0,0.0,0.0,0.0,na,793399.0,96340.0,697059.0,0.0,0,0.0,na,1614854.0,na,na,na,na,na
2021-02-09,Région,RSS06,Montréal,96419.0,2847.0,99266,4790.69,16.94,352.0,0.0,352,5415,260.53,na,na,88839,376,4389,211.82,0.05,2902,625,672,190,1,0.0,1.0,0.0,0.0,na,na,6649.0,1234.0,7883.0,380.44,0.0,0.0,0.0,0.0,na,795503.0,96802.0,698701.0,0.0,0,0.0,na,1622007.0,na,na,na,na,na
2021-02-10,Région,RSS06,Montréal,96919.0,2850.0,99769,4814.97,19.73,407.0,3.0,410,5410,260.29,na,na,89329,494,4407,212.69,0.14,2903,631,680,193,3,0.0,1.0,2.0,0.0,na,na,6675.0,1241.0,7916.0,382.04,0.0,0.0,0.0,0.0,na,798313.0,97298.0,701015.0,0.0,0,0.0,na,1631330.0,na,na,na,na,na
2021-02-11,Région,RSS06,Montréal,97350.0,2851.0,100201,4835.81,14.72,304.0,2.0,306,5184,249.41,na,na,89974,643,4416,213.12,0.05,2907,631,684,194,1,0.0,0.0,1.0,0.0,na,na,6697.0,1245.0,7942.0,383.29,0.0,0.0,0.0,0.0,na,800935.0,97777.0,703158.0,0.0,0,0.0,na,1640175.0,na,na,na,na,na
2021-02-12,Région,RSS06,Montréal,97827.0,2851.0,100678,4858.83,14.34,298.0,0.0,298,5113,246.0,na,na,90513,537,4423,213.46,0.05,2908,631,689,195,1,0.0,0.0,1.0,0.0,na,na,6725.0,1251.0,7976.0,384.93,0.0,0.0,0.0,0.0,na,803701.0,98232.0,705469.0,0.0,0,0.0,na,1649200.0,na,na,na,na,na
2021-02-13,Région,RSS06,Montréal,98223.0,2852.0,101075,4877.99,10.25,213.0,0.0,213,4986,239.89,na,na,91036,510,4425,213.56,0.05,2910,631,689,195,1,1.0,0.0,0.0,0.0,na,na,6741.0,1255.0,7996.0,385.9,0.0,0.0,0.0,0.0,na,805911.0,98628.0,707283.0,0.0,0,0.0,na,1656523.0,na,na,na,na,na
2021-02-14,Région,RSS06,Montréal,98538.0,2853.0,101391,4893.25,8.9,184.0,1.0,185,4764,229.21,na,na,91568,533,4431,213.85,0.05,2913,633,690,195,1,0.0,0.0,1.0,0.0,na,na,6751.0,1261.0,8012.0,386.67,0.0,0.0,0.0,0.0,na,807711.0,98865.0,708846.0,0.0,0,0.0,na,1661855.0,na,na,na,na,na
2021-02-15,Région,RSS06,06 - Montréal,98866.0,2853.0,101719,4909.07,7.65,159.0,0.0,159,4597,221.17,na,na,92056,482,4438,214.18,0.24,2915,633,694,196,5,1.0,1.0,3.0,0.0,na,na,6764.0,1266.0,8030.0,387.54,0.0,0.0,0.0,0.0,na,809520.0,99210.0,710310.0,0.0,0,0.0,na,1666751.0,na,na,na,na,na
2021-02-16,Région,RSS06,06 - Montréal,99249.0,2852.0,102101,4927.51,11.07,228.0,2.0,230,4563,219.54,na,na,92467,407,4444,214.47,0.0,2915,635,696,198,0,0.0,0.0,0.0,0.0,na,na,6779.0,1269.0,8048.0,388.41,0.0,0.0,0.0,0.0,na,811822.0,99559.0,712263.0,0.0,0,0.0,na,1674556.0,na,na,na,na,na
2021-02-17,Région,RSS06,06 - Montréal,99663.0,2854.0,102517,4947.59,11.21,232.0,1.0,233,4615,222.04,na,na,92830,352,4442,214.38,0.0,2913,635,697,197,0,0.0,0.0,0.0,0.0,na,na,6799.0,1273.0,8072.0,389.56,0.0,0.0,0.0,0.0,na,814040.0,99979.0,714061.0,0.0,0,0.0,na,1683056.0,na,na,na,na,na
2021-02-18,Région,RSS06,06 - Montréal,100015.0,2855.0,102870,4964.62,12.85,265.0,2.0,267,4356,209.58,na,na,93435,598,4450,214.76,0.05,2914,638,701,197,1,0.0,0.0,1.0,0.0,na,na,6812.0,1279.0,8091.0,390.48,0.0,0.0,0.0,0.0,na,817166.0,100459.0,716707.0,0.0,0,0.0,na,1693000.0,na,na,na,na,na
2021-02-19,Région,RSS06,06 - Montréal,100349.0,2855.0,103204,4980.74,11.07,229.0,1.0,230,4202,202.17,na,na,93915,478,4457,215.1,0.05,2915,640,704,198,1,0.0,1.0,0.0,0.0,na,na,6826.0,1284.0,8110.0,391.4,0.0,0.0,0.0,0.0,na,819457.0,100792.0,718665.0,0.0,0,0.0,na,1701233.0,na,na,na,na,na
2021-02-20,Région,RSS06,06 - Montréal,100679.0,2855.0,103534,4996.67,8.13,169.0,0.0,169,4045,194.61,na,na,94397,467,4461,215.29,0.1,2915,640,708,198,2,0.0,0.0,2.0,0.0,na,na,6844.0,1288.0,8132.0,392.46,0.0,0.0,0.0,0.0,na,821741.0,101164.0,720577.0,0.0,0,0.0,na,1708649.0,na,na,na,na,na
2021-02-21,Région,RSS06,06 - Montréal,101093.0,2857.0,103950,5016.75,9.53,196.0,2.0,198,4027,193.75,na,na,94823,426,4466,215.53,0.05,2915,640,712,199,1,0.0,0.0,1.0,0.0,na,na,6861.0,1290.0,8151.0,393.38,0.0,0.0,0.0,0.0,na,823737.0,101603.0,722134.0,0.0,0,0.0,na,1714293.0,na,na,na,na,na
2021-02-22,Région,RSS06,06 - Montréal,101453.0,2857.0,104310,5034.12,7.07,147.0,0.0,147,3937,189.42,na,na,95269,448,4470,215.73,0.0,2915,641,713,201,0,0.0,0.0,0.0,0.0,na,na,6875.0,1293.0,8168.0,394.2,0.0,0.0,0.0,0.0,na,825403.0,101923.0,723480.0,0.0,0,0.0,na,1719304.0,na,na,na,na,na
2021-02-23,Région,RSS06,06 - Montréal,101864.0,2856.0,104720,5053.91,14.72,306.0,0.0,306,4037,194.23,na,na,95577,291,4472,215.82,0.0,2915,642,714,201,0,0.0,0.0,0.0,0.0,na,na,6881.0,1300.0,8181.0,394.82,0.0,0.0,0.0,0.0,na,827817.0,102312.0,725505.0,0.0,0,0.0,na,1727520.0,na,na,na,na,na
2021-02-24,Région,RSS06,06 - Montréal,102246.0,2858.0,105104,5072.44,13.04,271.0,0.0,271,4068,195.72,na,na,95924,335,4478,216.11,0.1,2915,644,717,202,2,0.0,1.0,1.0,0.0,na,na,6898.0,1303.0,8201.0,395.79,0.0,0.0,0.0,0.0,na,830368.0,102714.0,727654.0,0.0,0,0.0,na,1735987.0,na,na,na,na,na
2021-02-25,Région,RSS06,06 - Montréal,102659.0,2859.0,105518,5092.42,13.57,282.0,0.0,282,4007,192.79,na,na,96394,462,4482,216.31,0.0,2915,644,721,202,0,0.0,0.0,0.0,0.0,na,na,6918.0,1303.0,8221.0,396.75,0.0,0.0,0.0,0.0,na,832634.0,103049.0,729585.0,0.0,0,0.0,na,1744086.0,na,na,na,na,na
2021-02-26,Région,RSS06,06 - Montréal,103011.0,2859.0,105870,5109.41,11.79,245.0,0.0,245,4015,193.17,na,na,96736,337,4485,216.45,0.1,2915,644,724,202,2,0.0,0.0,2.0,0.0,na,na,6944.0,1307.0,8251.0,398.2,0.0,0.0,0.0,0.0,na,834767.0,103283.0,731484.0,0.0,0,0.0,na,1751407.0,na,na,na,na,na
2021-02-27,Région,RSS06,06 - Montréal,103328.0,2859.0,106187,5124.71,8.37,174.0,0.0,174,3917,188.46,na,na,97146,402,4489,216.64,0.0,2917,646,725,201,0,0.0,0.0,0.0,0.0,na,na,6958.0,1310.0,8268.0,399.02,0.0,0.0,0.0,0.0,na,836903.0,103598.0,733305.0,0.0,0,0.0,na,1758440.0,na,na,na,na,na
2021-02-28,Région,RSS06,06 - Montréal,103630.0,2860.0,106490,5139.33,6.93,143.0,1.0,144,3815,183.55,na,na,97550,404,4490,216.69,0.0,2917,647,725,201,0,0.0,0.0,0.0,0.0,na,na,6966.0,1319.0,8285.0,399.84,0.0,0.0,0.0,0.0,na,838708.0,103842.0,734866.0,0.0,0,0.0,na,1763786.0,na,na,na,na,na
2021-03-01,Région,RSS06,06 - Montréal,103779.0,2860.0,106639,5146.52,2.74,57.0,0.0,57,3561,171.33,na,na,97953,401,4492,216.79,0.0,2918,647,726,201,0,0.0,0.0,0.0,0.0,na,na,6980.0,1321.0,8301.0,400.62,0.0,0.0,0.0,0.0,na,840208.0,104043.0,736165.0,0.0,0,0.0,na,1768428.0,na,na,na,na,na
2021-03-02,Région,RSS06,06 - Montréal,104224.0,2860.0,107084,5168.0,11.5,239.0,0.0,239,3659,176.04,na,na,98289,339,4502,217.27,0.05,2917,648,734,203,1,0.0,1.0,0.0,0.0,na,na,7000.0,1326.0,8326.0,401.82,0.0,0.0,0.0,0.0,na,842287.0,107647.0,737941.0,0.0,0,0.0,na,1824105.0,na,na,na,na,na
2021-03-03,Région,RSS06,06 - Montréal,104542.0,2861.0,107403,5183.39,8.61,179.0,0.0,179,3674,176.77,na,na,98583,304,4512,217.75,0.05,2918,650,740,204,1,0.0,0.0,1.0,0.0,na,na,7014.0,1329.0,8343.0,402.64,0.0,0.0,0.0,0.0,na,844559.0,104714.0,739845.0,0.0,0,0.0,na,1783727.0,na,na,na,na,na
2021-03-04,Région,RSS06,06 - Montréal,104886.0,2862.0,107748,5200.04,10.87,225.0,1.0,226,3578,172.15,na,na,99023,446,4515,217.9,0.05,2918,654,739,204,1,0.0,1.0,0.0,0.0,na,na,7026.0,1334.0,8360.0,403.46,0.0,0.0,0.0,0.0,na,846601.0,105075.0,741526.0,0.0,0,0.0,na,1791056.0,na,na,na,na,na
2021-03-05,Région,RSS06,06 - Montréal,105224.0,2862.0,108086,5216.35,9.33,194.0,0.0,194,3531,169.89,na,na,99404,375,4519,218.09,0.1,2918,655,742,204,2,0.0,1.0,1.0,0.0,na,na,7047.0,1339.0,8386.0,404.72,0.0,0.0,0.0,0.0,na,848300.0,105283.0,743017.0,0.0,0,0.0,na,1797832.0,na,na,na,na,na
2021-03-06,Région,RSS06,06 - Montréal,105550.0,2865.0,108415,5232.23,11.98,245.0,4.0,249,3447,165.84,na,na,99811,407,4525,218.38,0.1,2920,655,745,205,2,1.0,0.0,1.0,0.0,na,na,7063.0,1341.0,8404.0,405.59,0.0,0.0,0.0,0.0,na,850373.0,105533.0,744840.0,0.0,0,0.0,na,1804600.0,na,na,na,na,na
2021-03-07,Région,RSS06,06 - Montréal,105826.0,2865.0,108691,5245.55,6.45,134.0,0.0,134,3377,162.48,na,na,100154,342,4529,218.57,0.0,2920,658,746,205,0,0.0,0.0,0.0,0.0,na,na,7067.0,1341.0,8408.0,405.78,0.0,0.0,0.0,0.0,na,851983.0,105784.0,746199.0,0.0,0,0.0,na,1809372.0,na,na,na,na,na
2021-03-08,Région,RSS06,06 - Montréal,106117.0,2865.0,108982,5259.6,7.6,158.0,0.0,158,3278,157.71,na,na,100538,379,4532,218.72,0.05,2920,660,747,205,1,0.0,1.0,0.0,0.0,na,na,7079.0,1343.0,8422.0,406.46,0.0,0.0,0.0,0.0,na,853211.0,106026.0,747185.0,0.0,0,0.0,na,1813578.0,na,na,na,na,na
2021-03-09,Région,RSS06,06 - Montréal,106485.0,2865.0,109350,5277.36,12.99,270.0,0.0,270,3407,163.92,na,na,100770,226,4536,218.91,0.05,2920,661,750,205,1,0.0,0.0,1.0,0.0,na,na,7107.0,1351.0,8458.0,408.19,0.0,0.0,0.0,0.0,na,855227.0,106272.0,748955.0,0.0,0,0.0,na,1820511.0,na,na,na,na,na
