Régions sociosanitaires;2021-05-16;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;3 722
02 - Saguenay – Lac-Saint-Jean;28;10 669
03 - Capitale-Nationale;18;32 238
04 - Mauricie-et-Centre-du-Québec;25;14 810
05 - Estrie;29;14 157
06 - Montréal;189;129 071
07 - Outaouais;19;11 857
08 - Abitibi-Témiscamingue;0;1 107
09 - Côte-Nord;6;566
10 - Nord-du-Québec;0;102
11 - Gaspésie – Îles-de-la-Madeleine;3;1 940
12 - Chaudière-Appalaches;50;18 372
13 - Laval;43;30 766
14 - Lanaudière;29;23 548
15 - Laurentides;21;20 392
16 - Montérégie;63;49 959
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;120
Hors Québec;3;395
Région à déterminer;0;9
Total;551;363 847
