,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3722,25,3698,24,40,0,3294,388,196934.5,1889.97,197.16,20.31
02,02 - Saguenay-Lac-Saint-Jean,10669,28,10453,216,269,0,10184,216,277505,3844.62,77.87,96.94
03,03 - Capitale-Nationale,32238,18,31886,352,1102,0,30670,466,757803,4254.14,61.30,145.42
04,04 - Mauricie et Centre-du-Québec,14810,25,14571,239,514,0,14026,270,523331.5,2829.95,51.50,98.22
05,05 - Estrie,14157,29,13645,512,342,0,13339,476,494966.5,2860.19,95.82,69.10
06,06 - Montréal,129071,189,126151,2920,4709,6,122078,2284,2072060.5,6229.11,109.89,227.26
07,07 - Outaouais,11857,19,11411,446,208,0,11401,248,402744,2944.05,61.32,51.65
08,08 - Abitibi-Témiscamingue,1107,0,1074,33,9,0,1095,3,147637,749.81,2.03,6.10
09,09 - Côte-Nord,566,6,547,19,3,0,545,18,89700.5,630.99,20.14,3.34
10,10 - Nord-du-Québec,102,0,100,2,0,0,96,6,13521.5,754.35,44.49,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1940,3,1920,20,45,0,1848,47,89823,2159.80,52.43,50.10
12,12 - Chaudière-Appalaches,18372,50,18092,280,339,2,17363,670,431109.5,4261.56,155.12,78.63
13,13 - Laval,30766,43,28974,1792,906,0,29377,483,444658.5,6919.02,108.16,203.75
14,14 - Lanaudière,23548,29,22836,712,512,0,22763,273,522367,4507.94,52.04,98.02
15,15 - Laurentides,20392,21,19788,604,499,0,19607,286,630238,3235.60,45.15,79.18
16,16 - Montérégie,49959,63,48011,1948,1542,0,47563,854,1438226,3473.65,59.15,107.22
17,17 - Nunavik,47,0,45,2,0,0,46,1,14336.5,327.83,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,120,0,120,0,3,0,116,1,18507,648.40,5.37,16.21
98,Inconnu,9,0,9,0,0,0,9,0,.,.,.,.
99,Hors Québec,395,3,390,5,0,0,374,21,.,.,.,.
999,Ensemble du Québec,363847,551,353721,10126,11042,8,345794,7011,8565469.5,4247.83,81.60,128.91

