RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,143,0,0,0,143,1136,577.25,"86,2","89,3"
02 - Saguenay–Lac-Saint-Jean,27,0,1,0,28,716,258.13,"94,8","96,9"
03 - Capitale-Nationale,471,2,3,16,492,7599,999.68,"99,0","87,4"
04 - Mauricie et Centre-du-Québec,52,0,0,2,54,1176,224.29,"98,3","90,4"
05 - Estrie,87,0,13,1,101,1750,352.28,"98,4","91,9"
06 - Montréal,2827,81,88,37,3033,11321,544.68,"85,7","89,4"
07 - Outaouais,384,11,20,7,422,3349,828.03,"97,5","99,1"
08 - Abitibi-Témiscamingue,0,161,0,0,161,240,162.54,"40,0","100,0"
09 - Côte-Nord,5,0,0,0,5,145,162.25,"83,3","90,0"
10 - Nord-du-Québec,0,0,0,0,0,9,66.74,"66,7","100,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,120,133.86,"92,9","92,3"
12 - Chaudière-Appalaches,200,0,6,0,206,2948,682.55,"91,6","87,5"
13 - Laval,331,12,7,7,357,2780,622.52,"93,4","90,4"
14 - Lanaudière,235,16,2,8,261,1427,271.99,"83,9","94,1"
15 - Laurentides,319,11,33,9,372,2131,336.38,"81,8","94,4"
16 - Montérégie,192,11,77,6,286,3502,242.57,"86,6","87,5"
Inconnu,0,1,0,0,1,713,,"100,0","100,0"
Hors Québec,33,6,1,1,41,78,,"91,7","81,8"
Ensemble du Québec,5306,312,251,94,5963,41140,478.82,"90,1","90,3"
