Groupe d'âge;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
0-4 ans;29;290;264;6356;5786,5;0;;0;
5-9 ans;60;742;689,7;10008;9302,8;0;;0;
10-19 ans;73;674;338,8;19056;9580;0;;0;
20-29 ans;87;533;163,7;27233;8364,5;0;;< 5;n.p.
30-39 ans;108;789;240,4;24777;7549,1;0;;8;n.p.
40-49 ans;91;789;284,2;23549;8483,2;0;;27;* 9,7
50-59 ans;44;482;187,9;18525;7222,2;< 5;n.p.;118;46
60-69 ans;34;262;121,1;11136;5147,6;< 5;n.p.;347;160,4
70-79 ans;24;138;95,5;7163;4956,8;0;;853;590,3
80 ans et +;< 5;65;64,6;12447;12373,9;< 5;n.p.;3510;3489,4
Manquant;< 5;< 5;;92;;0;;0;
Total;556;4767;230,8;160342;7762,3;5;n.p.;4866;235,6
