RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,145,0,0,0,145,1180,599.61,91.3,95.2
02 - Saguenay–Lac-Saint-Jean,28,0,1,0,29,782,281.93,94,95.2
03 - Capitale-Nationale,556,3,5,18,582,7714,"1,014.80",97.5,87.9
04 - Mauricie et Centre-du-Québec,54,0,0,2,56,1246,237.64,87.1,89.3
05 - Estrie,89,0,13,1,103,1941,390.72,98.3,89.9
06 - Montréal,3028,96,107,45,3276,12206,587.26,88.3,91.2
07 - Outaouais,414,11,22,7,454,3516,869.32,99.2,100
08 - Abitibi-Témiscamingue,0,165,0,0,165,241,163.21,100,100
09 - Côte-Nord,5,0,0,0,5,148,165.61,71.4,100
10 - Nord-du-Québec,0,0,0,0,0,10,74.16,50,100
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,148,165.09,87.5,96.4
12 - Chaudière-Appalaches,228,0,6,0,234,3102,718.21,90.9,88.4
13 - Laval,350,12,13,7,382,2909,651.41,92.5,90.1
14 - Lanaudière,254,21,4,8,287,1490,284.00,82.9,89.7
15 - Laurentides,363,11,34,10,418,2242,353.90,85.2,89.2
16 - Montérégie,202,11,83,7,303,3729,258.29,89.3,85.2
Inconnu,0,1,0,0,1,714,,100,100
Hors Québec,33,7,1,1,42,83,,100,91.7
Ensemble du Québec,5749,338,289,106,6482,43401,505.14,90.6,90.3
