Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;2534
02 - Saguenay – Lac-Saint-Jean;3767
03 - Capitale-Nationale;12667
04 - Mauricie-et-Centre-du-Québec;5501
05 - Estrie;4497
06 - Montréal;30068
07 - Outaouais;3637
08 - Abitibi-Témiscamingue;2053
09 - Côte-Nord;2019
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2414
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;4776
13 - Laval;4950
14 - Lanaudière;4372
15 - Laurentides;5791
16 - Montérégie;15743
18 - Terres-Cries-de-la-Baie-James;1248
Opitciwan;550
Wemotaci;281
Total;107365
