,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1477,2,1460,17,30,0,1427,20,196934.5,750.00,10.16,15.23
02,02 - Saguenay–Lac-Saint-Jean,8766,4,8578,188,262,0,8459,45,277505,3158.86,16.22,94.41
03,03 - Capitale-Nationale,21649,47,21319,330,943,3,20012,694,757803,2856.81,91.30,124.44
04,04 - Mauricie et Centre-du-Québec,12353,23,12125,228,471,2,11382,500,523331.5,2360.45,95.36,90.00
05,05 - Estrie,10776,39,10361,415,283,1,10131,362,494966.5,2177.12,72.87,57.18
06,06 - Montréal,96914,489,94072,2842,4361,10,86874,5679,2072060.5,4677.18,273.23,210.47
07,07 - Outaouais,5907,25,5518,389,156,2,5627,124,402744,1466.69,30.66,38.73
08,08 - Abitibi-Témiscamingue,718,3,685,33,5,0,684,29,147637,486.33,19.64,3.39
09,09 - Côte-Nord,343,1,329,14,3,0,337,3,89700.5,382.38,3.36,3.34
10,10 - Nord-du-Québec,87,0,85,2,0,0,87,0,13521.5,643.42,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1690,1,1671,19,45,0,1641,4,89823,1881.48,4.46,50.10
12,12 - Chaudière-Appalaches,11186,41,10924,262,268,2,10521,397,431109.5,2594.70,91.92,62.17
13,13 - Laval,22641,93,21184,1457,846,1,20778,1017,444658.5,5091.77,227.73,190.26
14,14 - Lanaudière,18988,63,18278,710,470,2,17765,753,522367,3634.99,143.53,89.98
15,15 - Laurentides,14925,88,14328,597,448,0,13823,654,630238,2368.15,103.23,71.08
16,16 - Montérégie,38960,181,37372,1588,1380,9,35422,2158,1438226,2708.89,149.48,95.95
17,17 - Nunavik,41,2,39,2,0,0,37,4,14336.5,285.98,27.75,0.00
18,18 - Terres-Cries-de-la-Baie-James,114,0,114,0,2,0,100,12,18507,615.98,64.42,10.81
98,Inconnu,4,0,4,0,0,0,4,0,           .,         .  ,         .  ,         .  
99,Hors Québec,234,-1,230,4,0,0,228,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,267773,1101,258676,9097,9973,32,245339,12461,8565469.5,3126.19,145.03,116.43
