Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;4960
02 - Saguenay – Lac-Saint-Jean;8221
03 - Capitale-Nationale;24683
04 - Mauricie-et-Centre-du-Québec;13697
05 - Estrie;11064
06 - Montréal;63411
07 - Outaouais;8453
08 - Abitibi-Témiscamingue;5509
09 - Côte-Nord;6707
10 - Nord-du-Québec;5183
11 - Gaspésie – Îles-de-la-Madeleine;6325
12 - Chaudière-Appalaches;10710
13 - Laval;9638
14 - Lanaudière;11240
15 - Laurentides;12549
16 - Montérégie;35276
17 - Nunavik;1064
18 - Terres-Cries-de-la-Baie-James;9234
Inconnu;749
Total;248 673
