No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,13,154,8,26,0,204,1.2 %
02,02 - Saguenay-Lac-Saint-Jean,0,160,183,11,149,12,515,3.1 %
03,03 - Capitale-Nationale,7,658,445,42,495,38,1685,10.2 %
04,04 - Mauricie et Centre-du-Québec,4,157,785,23,114,5,1088,6.6 %
05,05 - Estrie,4,193,261,26,195,16,695,4.2 %
06,06 - Montréal,219,2857,1527,161,821,81,5666,34.3 %
07,07 - Outaouais,11,98,145,15,70,8,347,2.1 %
08,08 - Abitibi-Témiscamingue,3,40,59,6,19,1,128,0.8 %
09,09 - Côte-Nord,0,0,57,0,1,0,58,0.4 %
10,10 - Nord-du-Québec,0,0,6,0,0,0,6,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,16,60,0,13,0,89,0.5 %
12,12 - Chaudière-Appalaches,5,176,312,11,203,6,713,4.3 %
13,13 - Laval,6,558,304,59,222,12,1161,7.0 %
14,14 - Lanaudière,3,333,289,26,185,6,842,5.1 %
15,15 - Laurentides,63,267,313,65,116,14,838,5.1 %
16,16 - Montérégie,16,733,965,78,640,13,2445,14.8 %
17,17 - Nunavik,0,0,11,0,0,0,11,0.1 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,18,0,0,1,19,0.1 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,2,0,0,0,2,0.0 %
999,Ensemble du Québec (n),344,6259,5896,531,3269,213,16512,
9999,Ensemble du Québec (%),2.1 %,37.9 %,35.7 %,3.2 %,19.8 %,1.3 %,.,100.0 %

