"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;16927
02 - Saguenay - Lac-Saint-Jean;25138
03 - Capitale-Nationale;71077
04 - Mauricie et Centre-du-Québec;48950
05 - Estrie;38459
06 - Montréal;315364
07 - Outaouais;27312
08 - Abitibi-Témiscamingue;15264
09 - Côte-Nord;22231
10 - Nord-du-Québec;8716
11 - Gaspésie - Îles-de-la-Madeleine;15958
12 - Chaudière-Appalaches;37432
13 - Laval;51066
14 - Lanaudière;47076
15 - Laurentides;52069
16 - Montérégie;132360
17 - Nunavik;5158
18 - Terres-Cries-de-la-Baie-James;10470
Inconnue;3766
Total;944793
