RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,0,0,0,0,0,9,9
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,2,2
03 - Capitale-Nationale,12,0,0,0,12,260,248
04 - Mauricie et Centre-du-Québec,0,0,0,0,0,25,25
05 - Estrie,9,0,0,0,9,52,43
06 - Montréal,324,1,1,2,328,1795,1467
07 - Outaouais,0,0,0,0,0,144,144
08 - Abitibi-Témiscamingue,0,100,0,0,100,160,60
09 - Côte-Nord,0,0,0,0,0,0,0
10 - Nord-du-Québec,0,0,0,0,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0
12 - Chaudière-Appalaches,0,0,0,0,0,79,79
13 - Laval,29,0,0,0,29,412,383
14 - Lanaudière,8,2,0,0,10,163,153
15 - Laurentides,32,1,0,0,33,245,212
16 - Montérégie,18,2,0,0,20,156,136
Inconnu,0,1,0,0,1,147,146
Hors Québec,0,0,0,0,0,2,2
Ensemble du Québec,432,107,1,2,542,3651,3109
