,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,21252,36,21213,39,177,0,20765,310,197738.33333,10747.54,156.83,89.51,13,918,0
02,02 - Saguenay-Lac-Saint-Jean,30783,32,30422,361,449,0,30048,286,278600,11049.17,102.66,161.16,12,1635,1
03,03 - Capitale-Nationale,89841,112,89480,361,1577,0,87422,842,761103.66667,11804.04,109.84,207.20,45,4441,11
04,04 - Mauricie et Centre-du-Québec,59578,72,59338,240,1013,0,58088,477,527666.66667,11290.84,89.95,191.98,31,3252,7
05,05 - Estrie,50336,71,49812,524,627,0,49238,471,502406,10018.99,92.72,124.80,14,2811,5
06,06 - Montréal,312329,248,308970,3359,5517,5,304940,1872,2061667.3333,15149.34,90.37,267.60,110,16415,35
07,07 - Outaouais,40184,25,39739,445,318,0,39611,255,405378.66667,9912.71,62.23,78.45,17,1895,7
08,08 - Abitibi-Témiscamingue,11324,41,11283,41,113,0,11018,193,147876.33333,7657.75,130.46,76.42,15,670,5
09,09 - Côte-Nord,9108,18,9082,26,46,0,8779,283,90082.333333,10110.75,315.61,51.06,18,552,1
10,10 - Nord-du-Québec,1569,6,1334,235,4,0,1550,15,13383.666667,11723.24,112.75,29.89,3,55,0
11,11 - Gaspésie-Îles-de-la-Madeleine,9295,22,9258,37,82,0,9081,132,90783.333333,10238.66,145.22,90.32,17,454,0
12,12 - Chaudière-Appalaches,61832,62,61549,283,669,0,60759,404,434525.66667,14229.77,92.54,153.96,23,2599,3
13,13 - Laval,72204,52,70244,1960,1122,0,70651,431,445993.33333,16189.48,95.75,251.57,28,3335,6
14,14 - Lanaudière,70480,40,69764,716,779,0,69259,442,530581,13283.55,82.31,146.82,22,2867,5
15,15 - Laurentides,80621,79,80017,604,769,1,79099,753,640046.66667,12596.11,116.08,120.15,29,3856,8
16,16 - Montérégie,151362,162,149448,1914,2262,2,147759,1341,1452381.3333,10421.64,91.42,155.74,74,8365,11
17,17 - Nunavik,3039,0,3033,6,10,0,3016,13,14619,20788.02,87.42,68.40,3,112,0
18,18 - Terres-Cries-de-la-Baie-James,3017,30,2621,396,17,0,2949,51,18660.333333,16167.99,268.83,91.10,3,102,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,400,4
99,Hors Québec,2984,2,2976,8,2,0,2968,14,.,.,.,.,1,0,0
999,Ensemble du Québec,1081138,1110,1069583,11555,15553,8,1057000,8585,8613493.6667,12551.68,98.94,180.57,478,54734,109

