Régions sociosanitaires;2021-05-09;2021-05-10;2021-05-11;2021-05-12;2021-05-13;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;55;28;47;50;3 634
02 - Saguenay – Lac-Saint-Jean;21;19;28;26;31;10 578
03 - Capitale-Nationale;48;38;60;69;70;32 126
04 - Mauricie-et-Centre-du-Québec;26;36;47;40;37;14 736
05 - Estrie;43;58;39;51;64;14 029
06 - Montréal;189;168;205;202;238;128 426
07 - Outaouais;21;27;43;28;19;11 790
08 - Abitibi-Témiscamingue;1;2;0;1;1;1 107
09 - Côte-Nord;2;6;-1;3;0;557
10 - Nord-du-Québec;4;0;1;0;1;101
11 - Gaspésie – Îles-de-la-Madeleine;11;7;3;5;5;1 929
12 - Chaudière-Appalaches;71;80;94;86;84;18 189
13 - Laval;61;45;61;63;65;30 619
14 - Lanaudière;12;15;22;27;48;23 467
15 - Laurentides;32;29;43;41;29;20 294
16 - Montérégie;62;73;68;89;90;49 675
17 - Nunavik;0;0;0;0;1;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;119
Hors Québec;1;2;4;3;5;388
Région à déterminer;0;0;0;0;0;9
Total;662;660;745;781;838;361 820
