No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,35,4,13,0,64,0.6 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,82,4,87,8,275,2.4 %
03,03 - Capitale-Nationale,4,530,221,32,325,28,1140,9.8 %
04,04 - Mauricie et Centre-du-Québec,5,154,284,22,110,5,580,5.0 %
05,05 - Estrie,3,133,99,19,122,12,388,3.3 %
06,06 - Montréal,208,2735,1006,137,709,73,4868,41.9 %
07,07 - Outaouais,11,79,63,14,53,3,223,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,9,0,2,0,13,0.1 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,125,113,6,133,5,387,3.3 %
13,13 - Laval,2,510,184,53,187,5,941,8.1 %
14,14 - Lanaudière,3,250,147,12,122,3,537,4.6 %
15,15 - Laurentides,64,182,135,54,84,14,533,4.6 %
16,16 - Montérégie,15,621,429,62,472,9,1608,13.8 %
17,17 - Nunavik,0,0,2,0,0,0,2,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),325,5437,2838,419,2433,166,11618,
9999,Ensemble du Québec (%),2.8 %,46.8 %,24.4 %,3.6 %,20.9 %,1.4 %,.,100.0 %

