Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2518;8,5;1875,7;359;267,4
Anjou;746;2,5;1743,2;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;65;0,2;336,4;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2411;8,1;1447,9;259;155,5
Côte-Saint-Luc;558;1,9;1719,7;64;197,2
Dollard-des-Ormeaux;475;1,6;971,4;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;63;0,2;903,5;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;712;2,4;1600,4;100;224,8
LaSalle;1318;4,4;1715;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2518;8,5;1851,1;373;274,2
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2689;9,1;3192,3;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;77;379,8
Outremont;298;1;1244,1;11;*45,9
Pierrefonds–Roxboro;592;2;854,3;39;56,3
Plateau Mont-Royal;1121;3,8;1077,9;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2273;7,7;2129,4;242;226,7
Rosemont–La Petite Patrie;1798;6,1;1288,1;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1194;4;1208,2;120;121,4
Saint-Léonard;1227;4,1;1566,9;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1077;3,6;1378,1;182;232,9
Verdun;1048;3,5;1513,8;159;229,7
Ville-Marie;1120;3,8;1256;87;97,6
Villeray–Saint-Michel–Parc-Extension;2395;8,1;1664,9;131;91,1
Westmount;201;0,7;989,6;36;*177,2
Territoire à confirmer;665;;;44;
Total à Montréal;30324;;1468;3473;168,1
