,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,20328,34,20289,39,168,1,19647,513,197738.33333,10280.25,259.53,84.96,44,823,2
02,02 - Saguenay-Lac-Saint-Jean,29919,42,29558,361,433,0,28894,592,278600,10739.05,212.49,155.42,50,1566,3
03,03 - Capitale-Nationale,87458,75,87097,361,1535,1,84441,1482,761103.66667,11490.94,193.33,201.68,133,4165,8
04,04 - Mauricie et Centre-du-Québec,58293,55,58053,240,996,1,56176,1121,527666.66667,11047.32,211.40,188.76,89,3107,4
05,05 - Estrie,49024,45,48500,524,609,1,47258,1157,502406,9757.85,227.77,121.22,72,2668,11
06,06 - Montréal,306109,61,302748,3361,5459,5,297456,3194,2061667.3333,14847.64,154.19,264.79,178,15857,25
07,07 - Outaouais,39389,27,38941,448,310,0,38631,448,405378.66667,9716.59,109.34,76.47,46,1800,3
08,08 - Abitibi-Témiscamingue,10733,15,10692,41,110,0,10440,183,147876.33333,7258.09,123.70,74.39,15,615,2
09,09 - Côte-Nord,8309,20,8283,26,46,0,7929,334,90082.333333,9223.78,372.49,51.06,20,478,9
10,10 - Nord-du-Québec,1459,3,1231,228,4,0,1422,33,13383.666667,10901.35,248.05,29.89,7,51,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8885,14,8848,37,82,0,8627,176,90783.333333,9787.04,193.63,90.32,16,424,2
12,12 - Chaudière-Appalaches,60711,43,60428,283,645,5,59334,732,434525.66667,13971.79,167.67,148.44,57,2486,6
13,13 - Laval,70920,28,68959,1961,1102,1,69266,552,445993.33333,15901.58,122.63,247.09,33,3189,3
14,14 - Lanaudière,69165,50,68449,716,761,2,67646,758,530581,13035.71,141.15,143.43,62,2751,8
15,15 - Laurentides,78466,84,77860,606,750,0,76503,1213,640046.66667,12259.42,186.98,117.18,86,3610,12
16,16 - Montérégie,147322,165,145409,1913,2189,8,142882,2251,1452381.3333,10143.48,153.46,150.72,184,7886,25
17,17 - Nunavik,2988,3,2982,6,10,0,2953,25,14619,20439.15,168.11,68.40,1,106,1
18,18 - Terres-Cries-de-la-Baie-James,2904,2,2509,395,15,0,2856,33,18660.333333,15562.42,173.95,80.38,0,93,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,374,-10
99,Hors Québec,2895,1,2887,8,2,0,2866,27,.,.,.,.,3,0,0
999,Ensemble du Québec,1055277,767,1043723,11554,15226,25,1025227,14824,8613493.6667,12251.44,170.84,176.77,1096,52049,114

