Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;479;1,4;436,1;0;
5-9 ans;450;1,4;418,3;0;
10-19 ans;1736;5,2;872,7;0;
20-29 ans;5289;15,9;1624,5;< 5;n.p.
30-39 ans;4603;13,8;1402,4;< 5;n.p.
40-49 ans;4557;13,7;1641,6;15;*5,4
50-59 ans;4002;12;1560,2;69;26,9
60-69 ans;2705;8,1;1250,4;224;103,5
70-79 ans;2553;7,7;1766,7;595;411,7
80 ans et +;6954;20,9;6913,1;2569;2553,9
Manquant;90;;;;
Total;33418;;1617,8;3479;168,4
