,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4661,17,4639,22,63,0,4495,103,196934.5,2366.78,52.34,31.99,10
02,02 - Saguenay-Lac-Saint-Jean,11631,16,11408,223,274,0,11228,129,277505,4191.28,46.51,98.74,7
03,03 - Capitale-Nationale,36124,65,35765,359,1140,0,34554,430,757803,4766.94,56.57,150.43,41
04,04 - Mauricie et Centre-du-Québec,19128,68,18889,239,576,0,17977,575,523331.5,3655.04,109.67,110.06,49
05,05 - Estrie,21257,129,20732,525,384,0,19486,1387,494966.5,4294.63,279.20,77.58,141
06,06 - Montréal,158961,361,155977,2984,4863,0,150920,3178,2072060.5,7671.64,152.90,234.69,259
07,07 - Outaouais,14731,20,14287,444,223,0,14352,156,402744,3657.66,38.57,55.37,15
08,08 - Abitibi-Témiscamingue,1545,4,1512,33,13,0,1455,77,147637,1046.49,52.15,8.81,9
09,09 - Côte-Nord,837,2,814,23,5,0,816,16,89700.5,933.11,17.90,5.57,1
10,10 - Nord-du-Québec,138,0,136,2,0,0,137,1,13521.5,1020.60,7.42,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2347,10,2324,23,48,0,2278,21,89823,2612.92,23.42,53.44,3
12,12 - Chaudière-Appalaches,24998,97,24727,271,386,0,23797,815,431109.5,5798.53,188.70,89.54,82
13,13 - Laval,39103,112,37157,1946,940,1,37377,786,444658.5,8793.94,176.01,211.40,51
14,14 - Lanaudière,29245,100,28534,711,535,1,28071,639,522367,5598.55,121.80,102.42,64
15,15 - Laurentides,27830,81,27225,605,532,1,26534,764,630238,4415.79,120.60,84.41,95
16,16 - Montérégie,62024,144,60104,1920,1605,2,59043,1376,1438226,4312.54,95.31,111.60,126
17,17 - Nunavik,1027,0,1023,4,1,0,972,54,14336.5,7163.53,374.66,6.98,8
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,140,0,18507,783.49,0.00,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1323,8,1316,7,1,0,1299,23,.,.,.,.,10
999,Ensemble du Québec,457059,1234,446717,10342,11594,5,434935,10530,8565469.5,5336.06,122.56,135.36,971

