,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,17157,137,17118,39,118,0,15767,1272,197738.33333,8676.62,643.52,59.67,91,560,5
02,02 - Saguenay-Lac-Saint-Jean,26436,166,26075,361,370,1,24928,1138,278600,9488.87,408.48,132.81,121,1248,4
03,03 - Capitale-Nationale,79205,359,78844,361,1452,4,74711,3042,761103.66667,10406.60,396.83,190.78,257,3460,15
04,04 - Mauricie et Centre-du-Québec,51922,238,51682,240,914,1,49138,1870,527666.66667,9839.92,352.64,173.22,175,2563,13
05,05 - Estrie,44085,130,43560,525,549,0,42349,1187,502406,8774.78,233.67,109.27,111,2127,8
06,06 - Montréal,288837,638,285473,3364,5344,0,278897,4596,2061667.3333,14009.87,221.87,259.21,359,14463,22
07,07 - Outaouais,36572,88,36127,445,293,0,35664,615,405378.66667,9021.69,150.10,72.28,54,1520,4
08,08 - Abitibi-Témiscamingue,9090,83,9049,41,86,4,8326,678,147876.33333,6147.03,458.29,58.16,66,485,1
09,09 - Côte-Nord,6843,76,6817,26,40,0,6134,669,90082.333333,7596.38,746.09,44.40,79,364,8
10,10 - Nord-du-Québec,1194,4,985,209,4,0,1172,18,13383.666667,8921.32,135.30,29.89,3,37,1
11,11 - Gaspésie-Îles-de-la-Madeleine,7344,83,7308,36,60,0,6372,912,90783.333333,8089.59,1003.34,66.09,86,300,10
12,12 - Chaudière-Appalaches,55978,210,55695,283,576,5,53358,2044,434525.66667,12882.55,468.20,132.56,152,2005,23
13,13 - Laval,67298,102,65335,1963,1055,0,65502,741,445993.33333,15089.46,164.62,236.55,46,2830,3
14,14 - Lanaudière,64549,172,63833,716,727,1,62700,1122,530581,12165.72,208.93,137.02,92,2368,8
15,15 - Laurentides,72056,184,71449,607,710,0,69884,1462,640046.66667,11257.93,225.37,110.93,119,2991,13
16,16 - Montérégie,134500,484,132589,1911,2058,1,129305,3137,1452381.3333,9260.65,213.87,141.70,242,6503,38
17,17 - Nunavik,2827,3,2823,4,10,0,2769,48,14619,19337.85,322.78,68.40,1,85,0
18,18 - Terres-Cries-de-la-Baie-James,2309,17,1937,372,14,0,2121,174,18660.333333,12373.84,917.19,75.03,22,71,2
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,350,2
99,Hors Québec,2745,8,2737,8,2,0,2699,44,.,.,.,.,8,0,0
999,Ensemble du Québec,970951,3182,959439,11512,14382,17,931800,24769,8613493.6667,11272.44,285.45,166.97,2084,44330,180

