,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,13990,61,13951,39,96,0,12833,1061,197738.33333,7075.01,536.77,48.55,113
02,02 - Saguenay-Lac-Saint-Jean,23475,74,23116,359,330,0,22222,923,278600,8426.06,331.30,118.45,137
03,03 - Capitale-Nationale,71678,257,71313,365,1363,4,67215,3100,761103.66667,9417.64,404.39,179.08,433
04,04 - Mauricie et Centre-du-Québec,47351,126,47112,239,841,-1,44579,1931,527666.66667,8973.66,364.14,159.38,268
05,05 - Estrie,40997,91,40472,525,529,1,39513,955,502406,8160.13,188.00,105.29,167
06,06 - Montréal,278311,347,274960,3351,5293,11,268510,4508,2061667.3333,13499.32,217.62,256.73,654
07,07 - Outaouais,34785,64,34340,445,283,0,33664,838,405378.66667,8580.87,204.52,69.81,139
08,08 - Abitibi-Témiscamingue,7102,67,7063,39,58,0,6535,509,147876.33333,4802.66,344.06,39.22,87
09,09 - Côte-Nord,4906,51,4879,27,24,1,4277,605,90082.333333,5446.13,674.71,26.64,63
10,10 - Nord-du-Québec,959,6,783,176,2,0,931,26,13383.666667,7165.45,195.43,14.94,5
11,11 - Gaspésie-Îles-de-la-Madeleine,5077,23,5041,36,53,0,4745,279,90783.333333,5592.44,306.94,58.38,24
12,12 - Chaudière-Appalaches,50986,133,50708,278,520,0,48694,1772,434525.66667,11733.71,405.89,119.67,302
13,13 - Laval,65247,62,63286,1961,1032,1,63223,992,445993.33333,14629.59,220.38,231.39,176
14,14 - Lanaudière,61740,81,61026,714,711,0,59600,1429,530581,11636.30,266.10,134.00,232
15,15 - Laurentides,67740,155,67133,607,685,1,65302,1753,640046.66667,10583.60,270.23,107.02,152
16,16 - Montérégie,126879,217,124974,1905,1992,4,121778,3109,1452381.3333,8735.93,211.96,137.15,449
17,17 - Nunavik,2605,18,2601,4,10,1,2415,180,14619,17819.28,1210.41,68.40,53
18,18 - Terres-Cries-de-la-Baie-James,2073,0,1856,217,12,0,1943,118,18660.333333,11109.13,622.00,64.31,28
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,2561,4,2553,8,1,0,2534,26,.,.,.,.,7
999,Ensemble du Québec,908466,1837,897170,11296,13835,23,870517,24114,8613493.6667,10547.01,277.90,160.62,3489

