Région;Nombre de doses de vaccins administrées
01 - Bas-Saint-Laurent;14789
02 - Saguenay - Lac-Saint-Jean;19126
03 - Capitale-Nationale;59642
04 - Mauricie et Centre-du-Québec;38860
05 - Estrie;31596
06 - Montréal;295022
07 - Outaouais;21740
08 - Abitibi-Témiscamingue;14786
09 - Côte-Nord;19324
10 - Nord-du-Québec;8637
11 - Gaspésie - Îles-de-la-Madeleine;13195
12 - Chaudière-Appalaches;29922
13 - Laval;48253
14 - Lanaudière;42985
15 - Laurentides;44495
16 - Montérégie;112562
17 - Nunavik;5108
18 - Terres-Cries-de-la-Baie-James;10461
Inconnue;1966
Total;832469
