RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,2,2
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,12,,,,12,216,204
04 - Mauricie et Centre-du-Québec,,,,,0,16,16
05 - Estrie,9,,,,9,45,36
06 - Montréal,323,1,1,2,327,1536,1209
07 - Outaouais,,,,,0,123,123
08 - Abitibi-Témiscamingue,,100,,,100,158,58
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,60,60
13 - Laval,29,,,,29,339,310
14 - Lanaudière,8,2,,,10,129,119
15 - Laurentides,32,1,,,33,214,181
16 - Montérégie,18,2,,,20,126,106
Inconnu,,1,,,1,121,120
Hors Québec,,,,,0,2,2
Ensemble du Québec,431,107,1,2,541,3089,2548
