,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1632,3,1614,18,30,0,1561,41,196934.5,828.70,20.83,15.23
02,02 - Saguenay-Lac-Saint-Jean,9025,34,8832,193,264,0,8586,175,277505,3252.19,63.09,95.13
03,03 - Capitale-Nationale,23036,37,22697,339,1000,0,21684,352,757803,3039.84,46.31,131.96
04,04 - Mauricie et Centre-du-Québec,12997,19,12765,232,508,1,12380,109,523331.5,2483.51,20.79,97.07
05,05 - Estrie,11832,5,11365,467,317,0,11375,140,494966.5,2390.46,28.18,64.04
06,06 - Montréal,111829,318,108947,2882,4584,3,103945,3300,2072060.5,5396.99,158.77,221.23
07,07 - Outaouais,6726,34,6299,427,168,1,6323,235,402744,1670.04,58.10,41.71
08,08 - Abitibi-Témiscamingue,900,5,867,33,7,0,869,24,147637,609.60,16.25,4.74
09,09 - Côte-Nord,359,-6,344,15,3,0,352,4,89700.5,400.22,4.48,3.34
10,10 - Nord-du-Québec,88,0,86,2,0,0,87,1,13521.5,650.82,7.42,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1745,4,1726,19,45,0,1678,22,89823,1942.71,24.54,50.10
12,12 - Chaudière-Appalaches,11895,20,11627,268,288,0,11474,133,431109.5,2759.16,30.79,66.80
13,13 - Laval,26107,63,24522,1585,880,1,24525,702,444658.5,5871.25,157.20,197.90
14,14 - Lanaudière,21225,44,20514,711,498,0,20196,531,522367,4063.24,101.21,95.34
15,15 - Laurentides,17265,49,16662,603,480,0,16424,361,630238,2739.44,56.98,76.16
16,16 - Montérégie,43057,73,41229,1828,1502,0,40810,745,1438226,2993.76,51.60,104.43
17,17 - Nunavik,46,0,44,2,0,0,45,1,14336.5,320.86,6.94,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,2,0,116,1,18507,643.00,5.37,10.81
98,Inconnu,4,0,4,0,0,0,4,0,.,.,.,.
99,Hors Québec,265,0,260,5,0,0,259,6,.,.,.,.
999,Ensemble du Québec,300152,702,290523,9629,10576,6,282693,6883,8565469.5,3504.21,80.11,123.47

