Regroupement,Croisement,Nom,cas_tot_n,cas_0cond_n,cas_0cond_p,cas_1cond_n,cas_1cond_p,cas_2cond_n,cas_2cond_p,dec_tot_n,dec_0cond_n,dec_0cond_p,dec_1cond_n,dec_1cond_p,dec_2cond_n,dec_2cond_p
Région,RSS01,01 - Bas-Saint-Laurent,      1572,       890,       56.6,       332,       21.1,       350,       22.3,        30,n.d.,n.d.,n.d.,n.d.,        28,       93.3
Région,RSS02,02 - Saguenay–Lac-Saint-Jean,      8729,      4346,       49.8,      1971,       22.6,      2412,       27.6,       262,        12,        4.6,        20,        7.6,       230,       87.8
Région,RSS03,03 - Capitale-Nationale,     21601,     11822,       54.7,      4190,       19.4,      5589,       25.9,       988,        25,        2.5,        85,        8.6,       878,       88.9
Région,RSS04,04 - Mauricie et Centre-du-Québec,     12407,      6875,       55.4,      2456,       19.8,      3076,       24.8,       504,        15,        3.0,        28,        5.6,       461,       91.5
Région,RSS05,05 - Estrie,     11177,      6352,       56.8,      2201,       19.7,      2624,       23.5,       313,n.d.,n.d.,n.d.,n.d.,       281,       89.8
Région,RSS06,06 - Montréal,     96816,     54159,       55.9,     17733,       18.3,     24924,       25.7,      4479,       131,        2.9,       241,        5.4,      4107,       91.7
Région,RSS07,07 - Outaouais,      5918,      3459,       58.4,      1020,       17.2,      1439,       24.3,       165,n.d.,n.d.,n.d.,n.d.,       149,       90.3
Région,RSS08,08 - Abitibi-Témiscamingue,       856,       498,       58.2,       209,       24.4,       149,       17.4,         7,n.d.,n.d.,n.d.,n.d.,         5,       71.4
Région,RSS09,09 - Côte-Nord,       333,       212,       63.7,        66,       19.8,        55,       16.5,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS10,10 - Nord-du-Québec,        86,        47,       54.7,        15,       17.4,        24,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS11,11 - Gaspésie–Îles-de-la-Madeleine,      1694,       837,       49.4,       361,       21.3,       496,       29.3,        45,n.d.,n.d.,n.d.,n.d.,        40,       88.9
Région,RSS12,12 - Chaudière-Appalaches,     11485,      6601,       57.5,      2296,       20.0,      2588,       22.5,       287,         8,        2.8,        25,        8.7,       254,       88.5
Région,RSS13,13 - Laval,     24536,     14622,       59.6,      4944,       20.1,      4970,       20.3,       865,         9,        1.0,        58,        6.7,       798,       92.3
Région,RSS14,14 - Lanaudière,     20406,     12033,       59.0,      4223,       20.7,      4150,       20.3,       492,        20,        4.1,        29,        5.9,       443,       90.0
Région,RSS15,15 - Laurentides,     16574,      9722,       58.7,      3277,       19.8,      3575,       21.6,       476,        21,        4.4,        32,        6.7,       423,       88.9
Région,RSS16,16 - Montérégie,     40526,     22585,       55.7,      8114,       20.0,      9827,       24.2,      1487,        47,        3.2,        93,        6.3,      1347,       90.6
Région,RSS17,17 - Nunavik,        41,        21,       51.2,         5,       12.2,        15,       36.6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS18,18 - Terres-Cries-de-la-Baie-James,       104,        59,       56.7,        16,       15.4,        29,       27.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Région,RSS997,Total Québec jumelés,    274886,    155161,       56.4,     53431,       19.4,     66294,       24.1,     10405,       301,        2.9,       657,        6.3,      9447,       90.8
Groupe d'âge,0_9,Moins de 10 ans,     20787,     17585,       84.6,      2608,       12.5,       594,        2.9,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,10_19,10-19 ans,     32124,     26565,       82.7,      4662,       14.5,       897,        2.8,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,20_29,20-29 ans,     38227,     30783,       80.5,      5606,       14.7,      1838,        4.8,         6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Groupe d'âge,30_39,30-39 ans,     36997,     25668,       69.4,      7824,       21.1,      3505,        9.5,        14,n.d.,n.d.,n.d.,n.d.,        10,       71.4
Groupe d'âge,40_49,40-49 ans,     41122,     25464,       61.9,      9977,       24.3,      5681,       13.8,        35,         9,       25.7,         7,       20.0,        19,       54.3
Groupe d'âge,50_59,50-59 ans,     37683,     18601,       49.4,     10795,       28.6,      8287,       22.0,       174,        28,       16.1,        23,       13.2,       123,       70.7
Groupe d'âge,60_69,60-69 ans,     23491,      7693,       32.7,      6577,       28.0,      9221,       39.3,       606,        44,        7.3,        62,       10.2,       500,       82.5
Groupe d'âge,70_79,70-79 ans,     15988,      1875,       11.7,      2929,       18.3,     11184,       70.0,      1971,        68,        3.5,       160,        8.1,      1743,       88.4
Groupe d'âge,80_89,80-89 ans,     17726,       665,        3.8,      1732,        9.8,     15329,       86.5,      4135,        70,        1.7,       244,        5.9,      3821,       92.4
Groupe d'âge,90_,90 ans et plus,     10741,       262,        2.4,       721,        6.7,      9758,       90.8,      3463,        76,        2.2,       158,        4.6,      3229,       93.2
