,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19447,76,19408,39,153,2,18092,1202,197738.33333,9834.71,608.11,77.37,135,729,6
02,02 - Saguenay-Lac-Saint-Jean,28818,94,28457,361,412,3,27277,1129,278600,10343.86,405.25,147.88,128,1455,4
03,03 - Capitale-Nationale,84948,229,84587,361,1497,4,80815,2636,761103.66667,11161.16,343.87,196.69,290,3893,22
04,04 - Mauricie et Centre-du-Québec,56514,198,56274,240,961,7,53107,2446,527666.66667,10710.17,461.26,182.12,232,2929,21
05,05 - Estrie,47350,145,46826,524,575,6,45098,1677,502406,9424.65,330.13,114.45,170,2448,20
06,06 - Montréal,300530,474,297167,3363,5408,3,289828,5294,2061667.3333,14577.04,255.57,262.31,612,15236,50
07,07 - Outaouais,38473,90,38026,447,299,1,37210,964,405378.66667,9490.63,235.27,73.76,122,1677,10
08,08 - Abitibi-Témiscamingue,10281,48,10240,41,105,0,9736,440,147876.33333,6952.43,297.42,71.01,84,584,4
09,09 - Côte-Nord,7814,49,7788,26,43,0,7265,506,90082.333333,8674.29,564.30,47.73,74,428,5
10,10 - Nord-du-Québec,1352,13,1137,215,4,0,1304,44,13383.666667,10101.87,330.73,29.89,10,41,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8538,37,8501,37,77,0,7993,468,90783.333333,9404.81,514.87,84.82,57,376,3
12,12 - Chaudière-Appalaches,59450,126,59167,283,602,1,57030,1818,434525.66667,13681.59,416.43,138.54,205,2331,15
13,13 - Laval,69820,117,67859,1961,1080,2,67597,1143,445993.33333,15654.94,253.93,242.16,148,3057,23
14,14 - Lanaudière,67627,120,66911,716,740,0,65372,1515,530581,12745.84,282.12,139.47,168,2598,9
15,15 - Laurentides,76242,218,75636,606,722,0,73535,1985,640046.66667,11911.94,305.99,112.80,271,3299,16
16,16 - Montérégie,143111,442,141199,1912,2108,5,136798,4205,1452381.3333,9853.54,286.68,145.14,498,7316,60
17,17 - Nunavik,2933,4,2927,6,10,0,2877,46,14619,20062.93,309.33,68.40,11,91,1
18,18 - Terres-Cries-de-la-Baie-James,2759,12,2371,388,14,0,2578,167,18660.333333,14785.37,880.29,75.03,38,85,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0,366,3
99,Hors Québec,2833,7,2825,8,2,0,2793,38,.,.,.,.,6,0,0
999,Ensemble du Québec,1028844,2499,1017309,11535,14812,34,986309,27723,8613493.6667,11944.56,319.49,171.96,3259,48939,272

