No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,0,2,0,2,0,7,0.1 %
2,02 - Saguenay–Lac-Saint-Jean,0,23,7,0,0,5,35,0.6 %
3,03 - Capitale-Nationale,2,166,51,3,65,2,289,4.7 %
4,04 - Mauricie et Centre-du-Québec,6,124,36,12,44,0,222,3.6 %
5,05 - Estrie,1,8,8,0,17,3,37,0.6 %
6,06 - Montréal,189,2444,323,101,427,34,3518,57.0 %
7,07 - Outaouais,4,18,4,7,7,1,41,0.7 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,2,0,0,0,2,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,9,8,0,5,0,22,0.4 %
12,12 - Chaudière-Appalaches,5,5,18,4,27,5,64,1.0 %
13,13 - Laval,2,468,60,41,131,6,708,11.5 %
14,14 - Lanaudière,3,124,45,6,51,0,229,3.7 %
15,15 - Laurentides,59,102,45,29,57,7,299,4.8 %
16,16 - Montérégie,12,300,121,35,215,11,694,11.2 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,1,1,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),286,3791,733,238,1049,75,6172,
9999,Ensemble du Québec (%),4.6 %,61.4 %,11.9 %,3.9 %,17.0 %,1.2 %,           .,100.0 %
