No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,9,36,4,13,0,65,0.5 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,89,4,88,8,283,2.4 %
03,03 - Capitale-Nationale,4,533,237,32,328,28,1162,9.7 %
04,04 - Mauricie et Centre-du-Québec,5,154,330,22,110,5,626,5.2 %
05,05 - Estrie,3,134,140,19,123,12,431,3.6 %
06,06 - Montréal,208,2746,1050,138,716,73,4931,41.2 %
07,07 - Outaouais,11,79,64,14,53,3,224,1.9 %
08,08 - Abitibi-Témiscamingue,2,0,19,0,2,0,23,0.2 %
09,09 - Côte-Nord,0,0,4,0,1,0,5,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,20,0,13,0,48,0.4 %
12,12 - Chaudière-Appalaches,5,129,129,7,135,5,410,3.4 %
13,13 - Laval,2,513,197,53,189,6,960,8.0 %
14,14 - Lanaudière,3,255,167,13,125,3,566,4.7 %
15,15 - Laurentides,64,183,138,54,84,14,537,4.5 %
16,16 - Montérégie,16,628,488,62,481,9,1684,14.1 %
17,17 - Nunavik,0,0,5,0,0,0,5,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,4,0,0,1,5,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,1,0,0,0,1,0.0 %
999,Ensemble du Québec (n),326,5472,3118,422,2461,167,11966,
9999,Ensemble du Québec (%),2.7 %,45.7 %,26.1 %,3.5 %,20.6 %,1.4 %,.,100.0 %

