,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,4540,6,4518,22,61,0,4407,72,196934.5,2305.34,36.59,30.97,4
02,02 - Saguenay-Lac-Saint-Jean,11486,1,11265,221,274,0,11191,21,277505,4139.02,7.57,98.74,1
03,03 - Capitale-Nationale,35570,37,35212,358,1141,0,34177,252,757803,4693.83,33.15,150.57,25
04,04 - Mauricie et Centre-du-Québec,18369,51,18132,237,574,0,17515,280,523331.5,3510.01,53.40,109.68,25
05,05 - Estrie,19457,119,18932,525,383,1,18085,989,494966.5,3930.97,199.09,77.38,76
06,06 - Montréal,155121,1513,152134,2987,4857,3,148084,2180,2072060.5,7486.32,104.89,234.40,1455
07,07 - Outaouais,14515,15,14071,444,223,0,14207,85,402744,3604.03,21.02,55.37,9
08,08 - Abitibi-Témiscamingue,1426,26,1393,33,12,0,1284,130,147637,965.88,88.04,8.13,3
09,09 - Côte-Nord,819,0,796,23,5,0,800,14,89700.5,913.04,15.67,5.57,6
10,10 - Nord-du-Québec,137,0,135,2,0,0,137,0,13521.5,1013.20,0.00,0.00,0
11,11 - Gaspésie-Îles-de-la-Madeleine,2321,7,2300,21,48,0,2258,15,89823,2583.97,16.73,53.44,2
12,12 - Chaudière-Appalaches,23871,74,23600,271,384,0,23004,483,431109.5,5537.11,111.83,89.07,44
13,13 - Laval,38149,69,36215,1934,939,0,36799,411,444658.5,8579.39,92.03,211.17,27
14,14 - Lanaudière,28427,77,27717,710,534,0,27392,501,522367,5441.96,95.49,102.23,40
15,15 - Laurentides,26714,106,26110,604,531,0,25533,650,630238,4238.72,102.60,84.25,51
16,16 - Montérégie,60301,94,58379,1922,1598,1,57923,780,1438226,4192.73,54.03,111.11,65
17,17 - Nunavik,900,7,891,9,1,0,740,159,14336.5,6277.68,1103.17,6.98,20
18,18 - Terres-Cries-de-la-Baie-James,145,0,145,0,5,0,139,1,18507,783.49,5.37,27.02,0
98,Inconnu,4,0,3,1,0,0,4,0,.,.,.,.,0
99,Hors Québec,1276,2,1269,7,1,0,1251,24,.,.,.,.,2
999,Ensemble du Québec,443548,902,433217,10331,11571,5,424930,7047,8565469.5,5178.33,82.02,135.09,1855

