No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,256,70,20742,1234.21,338.10
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,418,102,34840,1199.77,292.43
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,135,7,19055.5,708.46,36.85
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,38,n.d.,8507,446.69,n.d.
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,604,n.d.,57728,1046.29,n.d.
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,87,0,17948.5,484.72,0.00
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,225,0,20658.5,1089.14,0.00
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,53,n.d.,17455,303.64,n.d.
01,01 - Bas-Saint-Laurent,,Total (incluant inconnus),1832,190,196934.5,930.26,96.55
02,02 - Saguenay-Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,583,133,31025,1879.13,429.42
02,02 - Saguenay-Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,751,38,25019.5,3001.66,152.15
02,02 - Saguenay-Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2376,25,52281,4544.67,47.83
02,02 - Saguenay-Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2081,7,67384,3088.27,10.39
02,02 - Saguenay-Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,2860,25,79237.5,3609.40,31.54
02,02 - Saguenay-Lac-Saint-Jean,0216,0216 - RLS de La Baie,712,26,22558,3156.31,115.34
02,02 - Saguenay-Lac-Saint-Jean,,Total (incluant inconnus),9371,255,277505,3376.88,91.93
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,1430,18,55121,2594.29,32.52
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,11083,332,321832.5,3443.72,102.90
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,10453,293,352784,2963.00,82.74
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,539,13,28065.5,1920.51,46.41
03,03 - Capitale-Nationale,,Total (incluant inconnus),23703,662,757803,3127.86,87.09
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,401,n.d.,15002,2672.98,n.d.
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,414,8,25591.5,1617.72,31.22
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,590,12,22969.5,2568.62,52.22
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1412,11,64680,2183.06,17.00
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,3593,20,143710,2500.17,13.89
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,818,13,44674,1831.04,29.06
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,3491,54,108252,3224.88,49.71
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,2352,29,98452.5,2388.97,29.39
04,04 - Mauricie et Centre-du-Québec,,Total (incluant inconnus),13171,150,523331.5,2516.76,28.61
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,1017,9,56363,1804.38,15.90
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,3124,19,106352,2937.42,17.78
