"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;21946
02 - Saguenay - Lac-Saint-Jean;33099
03 - Capitale-Nationale;94742
04 - Mauricie et Centre-du-Québec;65527
05 - Estrie;51485
06 - Montréal;406985
07 - Outaouais;41050
08 - Abitibi-Témiscamingue;20075
09 - Côte-Nord;27792
10 - Nord-du-Québec;8947
11 - Gaspésie - Îles-de-la-Madeleine;20184
12 - Chaudière-Appalaches;52767
13 - Laval;62475
14 - Lanaudière;64004
15 - Laurentides;69742
16 - Montérégie;164340
17 - Nunavik;5303
18 - Terres-Cries-de-la-Baie-James;10633
Inconnue;1788
Total;1222884
