No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,11,20 780,"83,3"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,29,34 800,"83,3"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,8,19 117,"41,8"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,16,57 630,"27,8"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,73,197 074,"37,0"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,11,31 078,"35,4"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,14,25 064,"55,9"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,44,52 298,"84,1"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,66,67 417,"97,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,206,79 201,"260,1"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,373,277 632,"134,4"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,71,54 895,"129,3"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1004,321 016,"312,8"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,811,351 429,"230,8"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,14,28 119,"49,8"
3,03 - Capitale-Nationale,,Total,1989,755 459,"263,3"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,253,22 961,"1 101,9"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,358,64 641,"553,8"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,947,143 422,"660,3"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,63,44 619,"141,2"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,329,107 872,"305,0"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,41,98 244,"41,7"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2124,522 341,"406,6"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,161,56 125,"286,9"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,272,105 861,"256,9"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,107,52 514,"203,8"
5,05 - Estrie,0514,0514 - RLS de Coaticook,16,18 741,"85,4"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,364,170 075,"214,0"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,76,31 490,"241,3"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,55,22 749,"241,8"
5,05 - Estrie,0519,0519 - RLS du Granit,17,21 351,"79,6"
5,05 - Estrie,,Total,1122,493 163,"227,5"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1679,224 596,"747,6"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2201,149 522,"1 472,0"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1410,131 424,"1 072,9"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3022,245 703,"1 229,9"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2087,166 225,"1 255,5"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1755,161 317,"1 087,9"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1912,161 894,"1 181,0"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4323,172 517,"2 505,8"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1080,115 485,"935,2"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2484,139 162,"1 785,0"
6,06 - Montréal,0652,0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est,3871,208 717,"1 854,7"
6,06 - Montréal,0653,0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont,2748,189 095,"1 453,2"
6,06 - Montréal,,Total,29451,2 065 657,"1 425,7"
7,07 - Outaouais,0711,0711 - RLS du Pontiac,n.d.,20 152,n.d.
7,07 - Outaouais,0712,0712 - RLS de la Vallée-de-la-Gatineau,6,20 552,"29,2"
7,07 - Outaouais,0713,0713 - RLS des Collines-de-l'Outaouais,28,38 891,"72,0"
7,07 - Outaouais,0714,0714 - RLS de Grande-Rivière - Hull - Gatineau,625,264 517,"236,3"
7,07 - Outaouais,0715,0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation,69,56 920,"121,2"
7,07 - Outaouais,,Total,733,401 032,"182,8"
8,08 - Abitibi-Témiscamingue,0811,0811 - RLS de l'Abitibi-Ouest,12,20 528,"58,5"
8,08 - Abitibi-Témiscamingue,0812,0812 - RLS de l'Abitibi,5,24 729,"20,2"
8,08 - Abitibi-Témiscamingue,0813,0813 - RLS de Rouyn-Noranda,130,43 180,"301,1"
8,08 - Abitibi-Témiscamingue,0814,0814 - RLS de la Vallée-de-l'Or,11,43 551,"25,3"
8,08 - Abitibi-Témiscamingue,0815,0815 - RLS du Témiscaming,21,15 628,"134,4"
8,08 - Abitibi-Témiscamingue,,Total,180,147 616,"121,9"
9,09 - Côte-Nord,0911,0911 - RLS de Caniapiscau,0,3 230,"0,0"
9,09 - Côte-Nord,0912,0912 - RLS de la Haute-Côte-Nord - Manicouagan,20,40 494,"49,4"
9,09 - Côte-Nord,0913,0913 - RLS de Port-Cartier,51,7 314,"697,3"
9,09 - Côte-Nord,0914,0914 - RLS de Sept-Îles,48,27 344,"175,5"
9,09 - Côte-Nord,0915,0915 - RLS de la Minganie,8,6 428,"124,5"
9,09 - Côte-Nord,0916,0916 - RLS de la Basse-Côte-Nord,0,4 582,"0,0"
9,09 - Côte-Nord,0917,0917 - RLS de Kawawachikamach,0,641,"0,0"
9,09 - Côte-Nord,,Total,127,90 033,"141,1"
10,10 - Nord-du-Québec,1001,1001 - Nord-du-Québec,9,13 558,"66,4"
10,10 - Nord-du-Québec,,Total,9,13 558,"66,4"
11,11 - Gaspésie-Îles-de-la-Madeleine,1111,1111 - RLS de la Baie-des-Chaleurs,142,32 176,"441,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,1112,1112 - RLS de la Haute-Gaspésie,10,10 582,"94,5"
11,11 - Gaspésie-Îles-de-la-Madeleine,1113,1113 - RLS de La Côte-de-Gaspé,17,18 753,"90,7"
11,11 - Gaspésie-Îles-de-la-Madeleine,1114,1114 - RLS du Rocher-Percé,33,15 881,"207,8"
11,11 - Gaspésie-Îles-de-la-Madeleine,1121,1121 - RLS des Îles-de-la-Madeleine,10,12 606,"79,3"
11,11 - Gaspésie-Îles-de-la-Madeleine,,Total,212,89 998,"235,6"
12,12 - Chaudière-Appalaches,1211,1211 - RLS Alphonse-Desjardins,436,258 118,"168,9"
12,12 - Chaudière-Appalaches,1212,1212 - RLS de la région de Thetford,53,42 500,"124,7"
12,12 - Chaudière-Appalaches,1213,1213 - RLS de Beauce,62,73 173,"84,7"
12,12 - Chaudière-Appalaches,1214,1214 - RLS des Etchemins,17,16 426,"103,5"
12,12 - Chaudière-Appalaches,1215,1215 - RLS de Montmagny-L'Islet,20,40 092,"49,9"
12,12 - Chaudière-Appalaches,,Total,588,430 309,"136,6"
13,13 - Laval,1311,1311 - RLS de Laval,6191,442 745,"1 398,3"
13,13 - Laval,,Total,6191,442 745,"1 398,3"
14,14 - Lanaudière,1411,1411 - RLS de Lanaudière-Nord,1692,223 099,"758,4"
14,14 - Lanaudière,1412,1412 - RLS de Lanaudière-Sud,2941,296 993,"990,3"
14,14 - Lanaudière,,Total,4714,520 092,"906,4"
15,15 - Laurentides,1511,1511 - RLS d'Antoine-Labelle,30,35 580,"84,3"
15,15 - Laurentides,1512,1512 - RLS des Laurentides,178,48 016,"370,7"
15,15 - Laurentides,1513,1513 - RLS des Pays-d'en-Haut,255,44 362,"574,8"
15,15 - Laurentides,1514,1514 - RLS d'Argenteuil,111,33 422,"332,1"
15,15 - Laurentides,1515,1515 - RLS de Deux-Montagnes - Mirabel-Sud,853,124 641,"684,4"
15,15 - Laurentides,1516,1516 - RLS de la Rivière-du-Nord - Mirabel-Nord,1234,177 517,"695,1"
15,15 - Laurentides,1517,1517 - RLS de Thérèse-De Blainville,1380,163 430,"844,4"
15,15 - Laurentides,,Total,4108,626 968,"655,2"
16,16 - Montérégie,1611,1611 - RLS de Champlain,2007,225 442,"890,3"
16,16 - Montérégie,1612,1612 - RLS du Haut-Richelieu - Rouville,802,195 297,"410,7"
16,16 - Montérégie,1621,1621 - RLS Pierre-Boucher,2287,262 440,"871,4"
16,16 - Montérégie,1622,1622 - RLS de Richelieu-Yamaska,1033,220 957,"467,5"
16,16 - Montérégie,1623,1623 - RLS Pierre-De Saurel,55,51 371,"107,1"
16,16 - Montérégie,1631,1631 - RLS de Vaudreuil-Soulanges,828,160 002,"517,5"
16,16 - Montérégie,1632,1632 - RLS du Suroît,679,60 523,"1 121,9"
16,16 - Montérégie,1633,1633 - RLS du Haut-Saint-Laurent,107,24 346,"439,5"
16,16 - Montérégie,1634,1634 - RLS de Jardins-Roussillon,1347,232 373,"579,7"
16,16 - Montérégie,,Total,9157,1 432 751,"639,1"
17,17 - Nunavik,1701,1701 - Nunavik,17,14 260,"119,2"
17,17 - Nunavik,,Total,17,14 260,"119,2"
18,18 - Terres-Cries-de-la-Baie-James,1801,1801 - Terres-Cries-de-la-Baie-James,10,18 385,"54,4"
18,18 - Terres-Cries-de-la-Baie-James,,Total,10,18 385,"54,4"
