,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,,,Nombre d'hospitalisations,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2022,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000,Personnes rétablies dans les 24 dernières heures,Total,Différence dans les 24 dernières heures
01,01 - Bas-Saint-Laurent,19970,26,19931,39,162,0,19031,777,197738.33333,10099.21,393.09,81.93,74,793,4
02,02 - Saguenay-Lac-Saint-Jean,29473,40,29112,361,421,0,28210,842,278600,10578.97,302.23,151.11,79,1524,2
03,03 - Capitale-Nationale,86521,103,86160,361,1517,0,82975,2029,761103.66667,11367.83,264.68,199.32,203,4058,5
04,04 - Mauricie et Centre-du-Québec,57608,63,57368,240,985,1,54843,1780,527666.66667,10917.50,335.67,186.67,151,3035,10
05,05 - Estrie,48342,42,47818,524,587,0,46248,1507,502406,9622.10,296.67,116.84,100,2569,2
06,06 - Montréal,303983,190,300623,3360,5429,1,294171,4383,2061667.3333,14744.52,211.59,263.33,445,15600,12
07,07 - Outaouais,39043,25,38596,447,304,0,38069,670,405378.66667,9631.24,163.52,74.99,81,1743,4
08,08 - Abitibi-Témiscamingue,10524,10,10483,41,109,0,10203,212,147876.33333,7116.76,143.30,73.71,38,601,1
09,09 - Côte-Nord,8050,10,8024,26,43,0,7668,339,90082.333333,8936.27,378.06,47.73,34,451,1
10,10 - Nord-du-Québec,1402,1,1184,218,4,0,1380,18,13383.666667,10475.46,135.30,29.89,8,48,0
11,11 - Gaspésie-Îles-de-la-Madeleine,8757,13,8719,38,79,0,8413,265,90783.333333,9646.04,291.54,87.02,32,403,6
12,12 - Chaudière-Appalaches,60183,48,59900,283,612,0,58437,1134,434525.66667,13850.28,259.75,140.84,124,2435,8
13,13 - Laval,70489,45,68528,1961,1097,1,68626,766,445993.33333,15804.94,170.18,245.97,93,3135,6
14,14 - Lanaudière,68564,58,67848,716,750,0,66761,1053,530581,12922.44,196.09,141.35,141,2693,10
15,15 - Laurentides,77538,74,76932,606,737,0,75237,1564,640046.66667,12114.43,241.09,115.15,171,3472,7
16,16 - Montérégie,145489,156,143577,1912,2147,0,140169,3173,1452381.3333,10017.27,216.32,147.83,329,7675,15
17,17 - Nunavik,2964,0,2958,6,10,0,2917,37,14619,20274.98,248.81,68.40,3,101,0
18,18 - Terres-Cries-de-la-Baie-James,2876,0,2482,394,14,0,2732,130,18660.333333,15412.37,685.26,75.03,13,90,0
98,Inconnu,0,0,0,0,0,0,0,0,.,.,.,.,0,372,1
99,Hors Québec,2862,2,2854,8,2,0,2830,30,.,.,.,.,4,0,0
999,Ensemble du Québec,1044638,906,1033097,11541,15009,3,1008920,20709,8613493.6667,12127.92,238.66,174.25,2123,50798,94

