RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.617.2,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,173,,,2,175,,,,
02 - Saguenay–Lac-Saint-Jean,124,,2,2,128,,,,
03 - Capitale-Nationale,650,4,12,65,731,,,,
04 - Mauricie et Centre-du-Québec,117,,1,43,161,,,,
05 - Estrie,99,,18,20,137,,,,
06 - Montréal,3355,138,279,505,4277,,,,
07 - Outaouais,496,16,35,42,589,,,,
08 - Abitibi-Témiscamingue,,177,,2,179,,,,
09 - Côte-Nord,11,,,2,13,,,,
10 - Nord-du-Québec,,1,,1,2,,,,
11 - Gaspésie–Îles-de-la-Madeleine,8,,,3,11,,,,
12 - Chaudière-Appalaches,570,1,11,8,590,,,,
13 - Laval,450,13,23,120,606,,,,
14 - Lanaudière,307,33,14,47,401,,,,
15 - Laurentides,510,32,55,79,676,,,,
16 - Montérégie,372,24,157,208,761,,,,
Inconnu,,1,,3,4,,,,
Hors Québec,51,10,5,69,135,,,,
Ensemble du Québec,7293,450,612,1221,9576,,,,
