,,Nombre de cas confirmé,,,Nombre de décès,,,,,,Nombre d'hospitalisations,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Total,Confirmé dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée,Population en 2022,Cas de COVID-19 par 100 000,Décès par COVID-19 par 100 000,Total,Différence dans les 24 dernières heures,Nombre dans la dernière semaine CDC fermée
01,01 - Bas-Saint-Laurent,24071,57,345,198,0,3,197738.33333,.,.,1164,3,40
02,02 - Saguenay-Lac-Saint-Jean,33702,74,416,476,5,2,278600,.,.,1841,7,35
03,03 - Capitale-Nationale,97960,140,1146,1630,1,8,761103.66667,.,.,5108,20,124
04,04 - Mauricie et Centre-du-Québec,64272,125,793,1044,1,10,527666.66667,.,.,3803,14,135
05,05 - Estrie,54929,99,687,644,3,4,502406,.,.,3202,11,92
06,06 - Montréal,324508,328,2084,5580,3,12,2061667.3333,.,.,17680,40,237
07,07 - Outaouais,40232,42,307,327,1,3,405378.66667,.,.,2101,9,37
08,08 - Abitibi-Témiscamingue,11731,28,143,121,1,1,147876.33333,.,.,821,7,18
09,09 - Côte-Nord,10461,27,205,52,0,2,90082.333333,.,.,690,4,33
10,10 - Nord-du-Québec,1568,5,32,4,0,0,13383.666667,.,.,62,0,2
11,11 - Gaspésie-Îles-de-la-Madeleine,10689,33,197,82,0,0,90783.333333,.,.,558,1,14
12,12 - Chaudière-Appalaches,67627,60,606,691,0,7,434525.66667,.,.,2958,11,79
13,13 - Laval,74951,82,503,1141,2,3,445993.33333,.,.,3657,9,66
14,14 - Lanaudière,74712,79,509,821,0,8,530581,.,.,3258,7,51
15,15 - Laurentides,85914,122,755,800,0,6,640046.66667,.,.,4495,12,85
16,16 - Montérégie,160434,185,1380,2350,4,16,1452381.3333,.,.,9464,29,219
17,17 - Nunavik,3267,4,23,10,0,0,14619,.,.,124,0,4
18,18 - Terres-Cries-de-la-Baie-James,2697,3,35,19,0,2,18660.333333,.,.,122,1,3
98,Inconnu,1046,3,12,0,0,0,.,.,.,452,5,19
99,Hors Québec,6888,9,45,2,0,0,.,.,.,0,0,0
999,Ensemble du Québec,1151659,1505,10223,15992,21,87,8613493.6667,.,.,61560,190,1293

