Régions sociosanitaires;2021-04-25;2021-04-26;2021-04-27;2021-04-28;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;29;48;50;58;2 944
02 - Saguenay – Lac-Saint-Jean;22;30;20;29;10 216
03 - Capitale-Nationale;110;111;116;117;31 015
04 - Mauricie-et-Centre-du-Québec;31;27;31;21;14 131
05 - Estrie;32;27;57;61;13 186
06 - Montréal;223;195;294;273;124 999
07 - Outaouais;50;57;92;55;11 224
08 - Abitibi-Témiscamingue;2;1;0;0;1 098
09 - Côte-Nord;6;15;2;4;513
10 - Nord-du-Québec;0;0;2;1;93
11 - Gaspésie – Îles-de-la-Madeleine;0;4;2;5;1 833
12 - Chaudière-Appalaches;82;109;128;109;16 617
13 - Laval;96;76;67;85;29 616
14 - Lanaudière;43;42;40;53;22 995
15 - Laurentides;36;51;55;58;19 673
16 - Montérégie;124;101;140;112;48 058
17 - Nunavik;0;0;0;0;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;119
Hors Québec;3;5;-2;1;353
Région à déterminer;0;0;0;0;3
Total;889;899;1 094;1 042;348 732
