"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;74484
02 - Saguenay - Lac-Saint-Jean;106479
03 - Capitale-Nationale;279155
04 - Mauricie et Centre-du-Québec;184195
05 - Estrie;168975
06 - Montréal;772485
07 - Outaouais;139368
08 - Abitibi-Témiscamingue;45021
09 - Côte-Nord;42450
10 - Nord-du-Québec;10085
11 - Gaspésie - Îles-de-la-Madeleine;47079
12 - Chaudière-Appalaches;157598
13 - Laval;142244
14 - Lanaudière;170694
15 - Laurentides;210804
16 - Montérégie;458418
17 - Nunavik;8956
18 - Terres-Cries-de-la-Baie-James;17949
Inconnue;3073
Total;3039512
