RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,69,0,0,0,69,926,470.54,100
02 - Saguenay–Lac-Saint-Jean,0,0,1,0,1,335,120.77,69.5
03 - Capitale-Nationale,231,2,0,6,239,6580,865.62,94.5
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,658,125.50,88.2
05 - Estrie,51,0,1,0,52,795,160.03,81.4
06 - Montréal,1954,22,14,11,2001,8184,393.75,74.5
07 - Outaouais,224,2,1,5,232,2762,682.89,93.6
08 - Abitibi-Témiscamingue,0,143,0,0,143,231,156.44,100
09 - Côte-Nord,0,0,0,0,0,66,73.85,93.8
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,56,62.47,100
12 - Chaudière-Appalaches,130,0,0,0,130,1748,404.71,92.6
13 - Laval,213,3,0,5,221,1951,436.88,72.8
14 - Lanaudière,146,5,1,6,158,989,188.51,72.6
15 - Laurentides,186,6,3,1,196,1520,239.93,82.9
16 - Montérégie,116,3,4,0,123,2248,155.71,76.8
Inconnu,0,1,0,0,1,941,,82.2
Hors Québec,14,1,0,1,16,51,,62.5
Ensemble du Québec,3345,188,25,35,3593,30041,349.64,82.5
