"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;60394
02 - Saguenay - Lac-Saint-Jean;82211
03 - Capitale-Nationale;214872
04 - Mauricie et Centre-du-Québec;142857
05 - Estrie;123001
06 - Montréal;650344
07 - Outaouais;102872
08 - Abitibi-Témiscamingue;34972
09 - Côte-Nord;37033
10 - Nord-du-Québec;9421
11 - Gaspésie - Îles-de-la-Madeleine;39840
12 - Chaudière-Appalaches;114676
13 - Laval;118202
14 - Lanaudière;133640
15 - Laurentides;153338
16 - Montérégie;356084
17 - Nunavik;6916
18 - Terres-Cries-de-la-Baie-James;17116
Inconnue;2145
Total;2399934
