RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,16,0,0,0,16,655,332.83,98.2
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,186,67.06,61.4
03 - Capitale-Nationale,153,2,0,3,158,5311,698.68,97.7
04 - Mauricie et Centre-du-Québec,6,0,0,0,6,444,84.68,83.7
05 - Estrie,35,0,0,0,35,475,95.62,73.8
06 - Montréal,1596,10,5,5,1616,6453,310.47,67.7
07 - Outaouais,174,2,0,5,181,2152,532.07,87.2
08 - Abitibi-Témiscamingue,0,131,0,0,131,219,148.32,52.6
09 - Côte-Nord,0,0,0,0,0,35,39.16,100
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,0
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,33,36.81,94.4
12 - Chaudière-Appalaches,68,0,0,0,68,1194,276.45,97.3
13 - Laval,133,3,0,4,140,1485,332.53,71.8
14 - Lanaudière,112,5,0,1,118,730,139.14,67.1
15 - Laurentides,150,6,1,0,157,1059,167.16,67.1
16 - Montérégie,98,3,2,0,103,1554,107.64,67.4
Inconnu,0,1,0,0,1,806,,76.6
Hors Québec,13,0,0,1,14,30,,50
Ensemble du Québec,2554,163,8,19,2744,22821,265.61,78.7
