No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,0,1,0,0,0,2,0.0 %
2,02 - Saguenay–Lac-Saint-Jean,0,21,0,0,0,5,26,0.4 %
3,03 - Capitale-Nationale,2,148,9,1,44,0,204,3.5 %
4,04 - Mauricie et Centre-du-Québec,4,124,28,12,43,0,211,3.6 %
5,05 - Estrie,0,4,7,0,15,3,29,0.5 %
6,06 - Montréal,184,2436,299,101,421,35,3476,59.9 %
7,07 - Outaouais,4,18,4,7,1,0,34,0.6 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.1 %
9,09 - Côte-Nord,0,0,1,0,0,0,1,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,2,2,0,5,0,9,0.2 %
12,12 - Chaudière-Appalaches,1,1,0,1,10,0,13,0.2 %
13,13 - Laval,2,452,57,41,123,6,681,11.7 %
14,14 - Lanaudière,3,124,43,5,48,0,223,3.8 %
15,15 - Laurentides,59,89,41,24,53,7,273,4.7 %
16,16 - Montérégie,10,259,107,30,202,8,616,10.6 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,0,0,0,0,0,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),270,3678,602,222,966,64,5802,100.0 %
9999,Ensemble du Québec (%),4.7 %,63.4 %,10.4 %,3.8 %,16.6 %,1.1 %,           .,
