Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;423;1,4;385,1;0;
5-9 ans;387;1,3;359,7;0;
10-19 ans;1364;4,5;685,7;0;
20-29 ans;4470;14,6;1372,9;< 5;n.p.
30-39 ans;4111;13,4;1252,5;< 5;n.p.
40-49 ans;4168;13,6;1501,5;15;*5,4
50-59 ans;3728;12,2;1453,4;69;26,9
60-69 ans;2548;8,3;1177,8;224;103,5
70-79 ans;2474;8,1;1712;594;411
80 ans et +;6908;22,6;6867,4;2567;2551,9
Manquant;87;;;;
Total;30668;;1484,7;3476;168,3
