No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,49,20 780,"235,8"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,87,34 800,"250,0"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,16,19 117,"83,7"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,35,57 630,"60,7"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,n.d.,20 726,n.d.
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,11,17 514,"62,8"
1,01 - Bas-St-Laurent,,Total,212,197 074,"107,6"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,14,31 078,"45,0"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,16,25 064,"63,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,45,52 298,"86,0"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,67,67 417,"99,4"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,207,79 201,"261,4"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,33,22 574,"146,2"
2,02 - Saguenay – Lac-St-Jean,,Total,383,277 632,"138,0"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,77,54 895,"140,3"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1481,321 016,"461,3"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,1077,351 429,"306,5"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,16,28 119,"56,9"
3,03 - Capitale-Nationale,,Total,2677,755 459,"354,4"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,120,25 562,"469,4"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,255,22 961,"1 110,6"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,364,64 641,"563,1"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,967,143 422,"674,2"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,65,44 619,"145,7"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,350,107 872,"324,5"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,62,98 244,"63,1"
