No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,2,"0,0%"
2,02 - Saguenay–Lac-Saint-Jean,,21,,,,5,26,"0,4%"
3,03 - Capitale-Nationale,2,148, 8,1,41,,200,"3,5%"
4,04 - Mauricie et Centre-du-Québec,4,124, 28,12,43,,211,"3,6%"
5,05 - Estrie,,3, 7,,15,3,28,"0,5%"
6,06 - Montréal,184,2436, 299,101,421,35,3476,"60,1%"
7,07 - Outaouais,4,18, 4,7,1,,34,"0,6%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,0,"0,0%"
11,11 - Gaspésie–Îles-de-la-Madeleine,,2, 2,,5,,9,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,9,,10,"0,2%"
13,13 - Laval,2,452, 57,41,122,5,679,"11,7%"
14,14 - Lanaudière,3,124, 43,5,48,,223,"3,9%"
15,15 - Laurentides,59,88, 41,24,53,7,272,"4,7%"
16,16 - Montérégie,10,259, 105,30,202,8,614,"10,6%"
17,17 - Nunavik,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,0,"0,0%"
999,Ensemble du Québec,270,3675, 598,221,961,63,5788,
9999,,"4,7%","63,5%","10,3%","3,8%","16,6%","1,1%",,"100,0%"
