Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2545;8,5;1895,8;359;267,4
Anjou;756;2,5;1766,5;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;68;0,2;351,9;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2428;8,1;1458,1;261;156,7
Côte-Saint-Luc;564;1,9;1738,2;64;197,2
Dollard-des-Ormeaux;479;1,6;979,6;83;169,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;64;0,2;917,8;< 5;n.p.
Kirkland;140;0,5;694,8;23;*114,1
Lachine;716;2,4;1609,4;100;224,8
LaSalle;1318;4,4;1715;183;238,1
L'Île-Bizard–Sainte-Geneviève;226;0,8;1227,4;46;249,8
Mercier–Hochelaga-Maisonneuve;2546;8,5;1871,7;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2716;9,1;3224,4;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;296;1;1459,9;77;379,8
Outremont;305;1;1273,3;11;*45,9
Pierrefonds–Roxboro;594;2;857,2;39;56,3
Plateau Mont-Royal;1132;3,8;1088,5;140;134,6
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2303;7,7;2157,5;242;226,7
Rosemont–La Petite Patrie;1826;6,1;1308,1;239;171,2
Sainte-Anne-de-Bellevue;20;0,1;*403,4;< 5;n.p.
Saint-Laurent;1206;4;1220,3;120;121,4
Saint-Léonard;1256;4,2;1604;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1091;3,6;1396;182;232,9
Verdun;1053;3,5;1521;159;229,7
Ville-Marie;1153;3,8;1293;87;97,6
Villeray–Saint-Michel–Parc-Extension;2430;8,1;1689,2;131;91,1
Westmount;206;0,7;1014,2;37;182,2
Territoire à confirmer;668;;;44;
Total à Montréal;30668;;1484,7;3476;168,3
