Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;322;1,2;290,4;0;
5-9 ans;299;1,1;276,9;0;
10-19 ans;1022;3,8;513,9;0;
20-29 ans;3238;12;1005,3;< 5;n.p.
30-39 ans;3449;12,7;1049,8;< 5;n.p.
40-49 ans;3749;13,9;1346,9;15;*5,4
50-59 ans;3404;12,6;1326,2;63;24,5
60-69 ans;2353;8,7;1086,5;209;96,5
70-79 ans;2396;8,9;1655,8;575;397,4
80 ans et +;6830;25,2;6759,6;2473;2447,5
Manquant;87;;;;
Total;27149;;1314,3;3342;161,8
