RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1001,508.65,"93,8","90,8"
02 - Saguenay–Lac-Saint-Jean,1,0,0,0,1,437,157.55,"87,1","73,9"
03 - Capitale-Nationale,248,2,1,6,257,7031,924.95,"97,7","91,4"
04 - Mauricie et Centre-du-Québec,37,0,0,0,37,838,159.83,"86,6","91,6"
05 - Estrie,80,0,1,0,81,1099,221.23,"96,8","94,1"
06 - Montréal,2222,31,18,12,2283,9206,442.92,"78,3","88,1"
07 - Outaouais,300,3,3,5,311,2858,706.63,"88,2","87,5"
08 - Abitibi-Témiscamingue,0,143,0,0,143,232,157.12,"0,0",.
09 - Côte-Nord,0,0,0,0,0,115,128.68,"94,4","76,5"
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,"100,0","0,0"
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,64,71.39,"100,0","87,5"
12 - Chaudière-Appalaches,132,0,1,0,133,2203,510.06,"92,4","87,6"
13 - Laval,243,7,0,5,255,2258,505.63,"76,9","87,7"
14 - Lanaudière,199,5,1,6,211,1149,219.01,"77,8","84,5"
15 - Laurentides,246,6,6,2,260,1750,276.24,"83,6","91,6"
16 - Montérégie,148,5,25,0,178,2717,188.20,"83,5","84,9"
Inconnu,0,1,0,0,1,850,,"83,7","88,9"
Hors Québec,15,1,0,1,17,54,,"50,0","100,0"
Ensemble du Québec,3943,204,56,37,4240,33864,394.14,"85,4","88,3"
