"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;83279
02 - Saguenay - Lac-Saint-Jean;119644
03 - Capitale-Nationale;314610
04 - Mauricie et Centre-du-Québec;207609
05 - Estrie;188922
06 - Montréal;841932
07 - Outaouais;159734
08 - Abitibi-Témiscamingue;51892
09 - Côte-Nord;47830
10 - Nord-du-Québec;10433
11 - Gaspésie - Îles-de-la-Madeleine;51386
12 - Chaudière-Appalaches;180439
13 - Laval;158008
14 - Lanaudière;185977
15 - Laurentides;225300
16 - Montérégie;507240
17 - Nunavik;9468
18 - Terres-Cries-de-la-Baie-James;18167
Inconnue;3705
Total;3365575
