,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,3175,23,3155,20,38,0,2749,388,196934.5,1612.21,197.16,19.30
02,02 - Saguenay-Lac-Saint-Jean,10350,16,10137,213,266,0,9916,168,277505,3729.66,60.57,95.85
03,03 - Capitale-Nationale,31582,89,31232,350,1091,0,29548,943,757803,4167.57,124.05,143.97
04,04 - Mauricie et Centre-du-Québec,14365,46,14127,238,512,1,13538,315,523331.5,2744.91,60.08,97.83
05,05 - Estrie,13486,53,12978,508,333,0,12688,465,494966.5,2724.63,93.60,67.28
06,06 - Montréal,126532,255,123613,2919,4687,3,119170,2675,2072060.5,6106.58,128.70,226.20
07,07 - Outaouais,11488,59,11040,448,201,0,10889,398,402744,2852.43,98.40,49.91
08,08 - Abitibi-Témiscamingue,1099,1,1066,33,9,0,1087,3,147637,744.39,2.03,6.10
09,09 - Côte-Nord,534,1,516,18,3,0,490,41,89700.5,595.31,45.88,3.34
10,10 - Nord-du-Québec,94,0,92,2,0,0,90,4,13521.5,695.19,29.66,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1858,10,1839,19,45,0,1783,30,89823,2068.51,33.46,50.10
12,12 - Chaudière-Appalaches,17295,120,17019,276,328,0,15980,987,431109.5,4011.74,228.52,76.08
13,13 - Laval,30062,57,28297,1765,901,0,28558,603,444658.5,6760.69,135.03,202.63
14,14 - Lanaudière,23215,34,22505,710,510,0,22310,395,522367,4444.19,75.29,97.63
15,15 - Laurentides,19955,60,19350,605,498,1,19096,361,630238,3166.26,56.98,79.02
16,16 - Montérégie,48764,88,46823,1941,1539,0,46119,1106,1438226,3390.57,76.61,107.01
17,17 - Nunavik,46,-1,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,368,4,363,5,0,0,355,13,.,.,.,.
999,Ensemble du Québec,354390,915,344318,10072,10964,5,334531,8895,8565469.5,4137.43,103.53,128.00

