RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours),Positif B.1.1.7
01 - Bas-Saint-Laurent,72,0,0,0,72,1031,523.90,89.3,90
02 - Saguenay–Lac-Saint-Jean,20,0,0,0,20,550,198.29,95.3,89.4
03 - Capitale-Nationale,255,2,1,7,265,7271,956.53,96.7,90.1
04 - Mauricie et Centre-du-Québec,39,0,0,0,39,990,188.82,92.5,91.8
05 - Estrie,80,0,2,0,82,1424,286.65,96.6,93.7
06 - Montréal,2375,41,19,12,2447,10100,485.94,79.9,89.5
07 - Outaouais,347,4,3,6,360,3134,774.87,93.1,99.3
08 - Abitibi-Témiscamingue,0,143,0,0,143,238,161.18,50,100
09 - Côte-Nord,5,0,0,0,5,134,149.94,94.4,88.2
10 - Nord-du-Québec,0,0,0,0,0,2,14.83,.,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,85,94.82,100,68
12 - Chaudière-Appalaches,146,0,3,0,149,2602,602.44,93.1,86.8
13 - Laval,270,8,0,5,283,2485,556.46,82.9,90.9
14 - Lanaudière,206,5,1,6,218,1288,245.50,85.8,90.7
15 - Laurentides,250,7,6,3,266,1921,303.23,85.5,92.5
16 - Montérégie,149,5,27,1,182,3064,212.23,79.1,87.4
Inconnu,0,1,0,0,1,709,,66.7,100
Hors Québec,15,1,0,1,17,66,,100,100
Ensemble du Québec,4229,217,62,41,4549,37094,431.73,87.1,90.1
