Régions sociosanitaires;2021-05-09;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;57;3 454
02 - Saguenay – Lac-Saint-Jean;21;10 474
03 - Capitale-Nationale;48;31 889
04 - Mauricie-et-Centre-du-Québec;26;14 576
05 - Estrie;43;13 817
06 - Montréal;189;127 613
07 - Outaouais;21;11 673
08 - Abitibi-Témiscamingue;1;1 103
09 - Côte-Nord;2;549
10 - Nord-du-Québec;4;99
11 - Gaspésie – Îles-de-la-Madeleine;11;1 909
12 - Chaudière-Appalaches;71;17 845
13 - Laval;61;30 385
14 - Lanaudière;12;23 355
15 - Laurentides;32;20 152
16 - Montérégie;62;49 355
17 - Nunavik;0;46
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;1;374
Région à déterminer;0;9
Total;662;358 796
